;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2;;;Quận Ba Đình;;Quận;;;
974;5;3;2;1;5;1;1;4;5;61;4,69;13;74;;;Long Biên;;;;;
1026;10;13;2;1;3;1;0;4;3;83;58,3;2,97;91;;1;Phường Bồ Đề;;;;;
94;9;3;3;4;2;1;0;2;2;55;9,2;6;60;;2;phường Cự Khối;;;;;
1335;5;7;2;4;4;1;1;4;2;62;10;6,2;83;;3;phường Đức Giang;;;;;
96;10;6;3;1;3;1;0;2;3;37;10;3,9;53;;4;phường Gia Thụy;;;;;
98;12;9;3;1;1;1;0;1;1;45;10;3,84;71;;5;phường Giang Biên;;;;;
100;6;9;3;1;5;1;0;4;3;41;15,27;3,11;207;;6;phường Long Biên;;;;;
102;6;17;3;1;5;2;0;3;4;11;3;3,15;131;;7;phường Ngọc Lâm;;;;;
1341;5;5;2;4;8;1;1;9;7;45;11;3,66;184;;8;phường Ngọc Thụy;;;;;
1373;5;7;2;1;6;2;1;6;5;90;18;5;138;;9;phường Phúc Đồng;;;;;
106;6;6;3;4;4;1;1;4;4;60;37,57;3,6;276;;10;phường Phúc Lợi;;;;;
1612;8;11;2;1;5;2;0;3;3;35;10;3,53;100;;11;phường Sài Đồng;;;;;
110;3;6;3;1;2;1;1;2;2;55;11;3,23;118;;12;phường Thạch Bàn;;;;;
111;10;14;3;1;5;2;0;3;4;35;9;3,34;71;;13;phường Thượng Thanh;;;;;
114;7;19;3;1;1;1;0;2;1;30;9;3,8;71;;14;phường Việt Hưng;;;;;
115;6;6;3;1;5;2;1;4;5;54;47,47;3,9;200;;;;;;;;
120;1;5;3;1;3;1;0;2;4;30;9;3,85;60;;;Quận Bắc Từ Liêm;;;;;
1706;7;1;2;1;3;1;0;3;2;23;8;3,8;108;;1;Phường Cổ Nhuế 1;;;;;
124;4;8;3;1;5;2;0;4;3;37;15,37;3,51;78;;2;phường Cổ Nhuế 2;;;;;
125;7;5;3;1;5;2;0;4;5;45;7,5;6;128;;3;phường Đông Ngạc;;;;;
128;8;5;3;1;5;2;0;3;5;25;7;3,32;96;;4;phường Đức Thắng;;;;;
129;10;6;3;1;5;2;0;3;5;34;19,3;2,99;63;;5;phường Liên Mạc;;;;;
132;8;7;3;1;4;1;0;4;4;34;11,56;3,45;120;;6;phường Minh Khai;;;;;
1738;9;4;2;1;5;1;0;6;3;38;9;3,61;73;;7;phường Phú Diễn;;;;;
138;10;4;3;1;4;1;0;3;3;33;9,5;3,28;65;;8;phường Phúc Diễn;;;;;
143;8;13;3;2;2;1;0;2;3;30;7;3,55;28;;9;phường Tây Tựu;;;;;
1935;10;2;2;1;1;1;1;2;1;47,5;30,37;2,67;48;;10;phường Thụy Phương;;;;;
146;11;12;3;1;2;1;1;3;4;81;22,5;3,88;39;;11;phường Thượng Cát;;;;;
150;1;3;3;1;2;1;0;3;4;27;8,7;3,89;166;;12;phường Xuân Đỉnh;;;;;
2395;4;11;2;1;4;1;1;5;2;42;12;34;64;;13;phường Xuân Tảo;;;;;
152;8;8;3;1;1;1;0;3;1;30;7;2,64;95;;;;;;;;
156;6;10;3;1;4;1;0;2;2;30;10,14;3,74;86;;;quận Cầu Giấy;;;;;
157;10;4;3;1;4;1;0;4;4;45;42,07;3,49;62;;1;Phường Dịch Vọng;;;;;
158;10;6;3;1;4;1;0;3;3;36;21,91;3,79;59;;2;phường Dịch Vọng Hậu;;;;;
2399;4;8;2;1;3;1;0;4;2;86;11;8;36;;3;phường Mai Dịch;;;;;
164;28;9;3;1;3;1;0;3;4;36;12;2,9;55;;4;phường Nghĩa Đô;;;;;
169;6;14;3;1;2;1;0;3;2;31;11,1;3,53;74;;5;phường Nghĩa Tân;;;;;
2417;11;7;2;1;3;1;1;4;2;52;10;3,68;115;;6;phường Quan Hoa;;;;;
171;7;17;3;1;4;1;0;3;4;35;8,75;2,37;68;;7;phường Trung Hoà;;?;;;
172;8;8;3;1;4;1;1;3;2;48;26,75;4;68;;8;phường Yên Hoà;;?;;;
182;6;18;3;4;1;1;0;3;1;55;15;3,42;54;;;;;;;;
183;10;15;3;1;4;1;0;4;3;60;15;3,52;83;;;Quận Đống Đa;;;;;
186;8;5;3;1;5;1;0;3;5;36;9;3,97;76;;1;Phường Cát Linh;;;;;
187;10;9;3;1;5;1;1;4;3;50;37,65;3,55;108;;2;phường Hàng Bột;;;;;
2428;5;6;2;1;5;2;0;6;4;40;17,67;3,58;130;;3;phường Kim Liên;;;;;
191;9;3;3;4;1;1;0;2;1;35;10;3,64;82;;4;phường Khâm Thiên;;;;;
2476;10;17;2;1;2;1;1;2;2;30;6;3,25;98;;5;phường Khương Thượng;;;;;
196;8;9;3;1;3;1;0;2;2;65;23,78;3,8;52;;6;phường Láng Hạ;;;;;
201;27;3;3;4;6;2;0;4;6;30;8,04;2,41;51;;7;phường Láng Thượng;;;;;
202;8;1;3;4;6;1;0;5;6;32;8;3,78;85;;8;phường Nam Đồng;;;;;
