;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2;;;Quận Ba Đình;;Quận;;;
17609;10;3;3;1;4;1;0;3;4;42;10;42;40;;;;;;;;
17613;9;6;3;4;2;1;0;3;4;50;15;2,03;78;;;;;;;;
42858;6;15;2;4;6;2;0;4;6;40;10;3;145;;;;;;;;
17619;5;8;3;1;5;2;0;3;5;35;7;2,38;97;;;;;;;;
17620;8;6;3;1;5;1;0;3;5;35;16,82;3,91;68;;;;;;;;
17626;7;17;3;1;4;1;0;4;2;40;14,43;2,53;77;;;;;;;;
17627;6;13;3;1;4;1;0;4;3;43;15,86;3,4;86;;;;;;;;
17633;9;6;3;1;1;1;0;3;1;35;10;37;105;;;;;;;;
42881;8;1;2;1;5;1;0;6;5;45;9;3,99;73;;;;;;;;
43113;12;5;2;1;5;1;0;6;3;75;13;6;69;;;;;;;;
43197;6;10;2;4;5;1;1;6;3;162;16,2;10;327;;;;;;;;
17638;12;5;3;1;3;1;0;3;4;40;6,8;6;61;;;;;;;;
17639;9;5;3;1;4;1;1;5;4;70;16;3,87;100;;;;;;;;
17640;9;6;3;1;7;1;0;3;6;30;7,5;3,91;130;;;;;;;;
17641;11;12;3;1;4;1;0;4;2;68;13,6;5;63;;;;;;;;
43241;7;19;2;1;5;2;0;3;4;32;13,36;3,65;193;;;;;;;;
17644;5;1;3;1;4;1;0;3;3;30;10;3,84;88;;;;;;;;
43251;5;7;2;4;6;1;1;4;6;58;23,11;3,94;250;;;;;;;;
17647;9;5;3;1;3;1;1;4;3;70;16;3,07;100;;;;;;;;
43385;6;10;2;1;6;1;0;6;6;90;18;5;364;;;;;;;;
43544;12;6;2;1;5;2;0;4;5;35;10;3,67;94;;;;;;;;
17653;10;6;3;1;4;1;0;3;4;51;17,93;3,98;54;;;;;;;;
17661;8;2;3;1;5;2;0;5;4;39;8;3,64;74;;;;;;;;
43698;12;5;2;1;6;2;0;5;6;48;12;3,96;145;;;;;;;;
17668;9;6;3;1;5;1;0;4;4;31;15,23;2,74;96;;;;;;;;
17674;10;15;3;1;3;1;0;4;4;45;11;3,06;58;;;;;;;;
17677;10;1;4;1;3;1;0;3;2;33;8,3;3,4;40;;;;;;;;
17680;3;7;3;1;4;1;1;4;2;90;10;6;57;;;;;;;;
17681;7;18;3;4;1;1;0;3;1;31;4,6;6,74;95;;;;;;;;
17682;8;3;3;1;5;1;0;4;4;38;7;3,2;96;;;;;;;;
17683;10;15;3;1;1;1;1;3;1;50;10;3,2;53;;;;;;;;
43702;8;1;2;1;4;1;0;3;3;44;11;3,91;125;;;;;;;;
17685;8;11;3;4;6;2;1;4;5;65;28,48;3,77;76;;;;;;;;
17686;6;17;3;1;4;1;0;5;2;35;9;3,78;100;;;;;;;;
17690;5;4;3;1;4;1;0;5;3;50;23,19;3,71;80;;;;;;;;
17692;7;8;3;1;5;2;0;3;5;42;17,65;3,91;70;;;;;;;;
17695;1;14;3;4;5;2;1;4;4;52;8,39;6,2;138;;;;;;;;
17696;5;1;3;1;4;1;0;3;4;32;10;3,61;184;;;;;;;;
43789;3;7;2;1;5;2;1;5;4;48;12;2,85;229;;;;;;;;
17700;5;8;3;1;5;1;0;4;3;41;7;6;148;;;;;;;;
17703;10;6;3;1;3;1;0;3;3;44;7,33;6;68;;;;;;;;
17704;7;6;3;1;2;1;0;3;3;60;12;5;36;;;;;;;;
43890;3;7;2;4;4;1;0;4;3;120;19;6;316;;;;;;;;
17706;4;7;3;1;5;1;0;3;5;34;13,38;3,59;83;;;;;;;;
17708;7;6;3;1;4;1;0;4;4;41;4;3,05;89;;;;;;;;
17709;9;3;3;1;2;1;0;3;4;55;12;3,6;63;;;;;;;;
17712;5;8;3;1;2;1;0;3;2;35;9;3,77;92;;;;;;;;
43927;4;1;2;1;3;1;1;4;4;106;21;5;99;;;;;;;;
43935;4;9;2;4;6;2;1;4;6;66;15;5;81;;;;;;;;
43965;6;17;2;1;5;1;0;3;4;30;7;3,65;196;;;;;;;;
43992;5;8;2;1;5;1;0;5;4;130;21,67;6;215;;;;;;;;
44072;7;6;2;1;6;1;1;10;6;65;34,95;3,62;110;;;;;;;;
44097;8;1;2;1;2;1;1;3;4;70;9,7;6,2;188;;;;;;;;
17724;7;6;3;1;4;1;0;2;4;27;9,93;3,69;66;;;;;;;;
17727;5;3;3;4;3;1;0;4;2;42;21,96;3,6;100;;;;;;;;
44221;6;10;2;1;7;2;0;4;7;90;18;5;272;;;;;;;;
17730;28;14;3;1;6;2;1;6;5;50;12;3,4;71;;;;;;;;
44264;2;2;2;1;4;1;0;3;2;20;12,47;3,5;225;;;;;;;;
44296;4;1;2;4;5;2;0;4;4;110;18,33;6;90;;;;;;;;
17743;7;6;3;1;3;1;0;2;4;15;4;3,75;92;;;;;;;;
17745;6;16;3;1;4;1;0;4;3;30;11,9;3,56;111;;;;;;;;
17746;1;14;3;4;1;1;0;3;1;40;10;3,3;96;;;;;;;;
17748;1;3;3;1;7;2;0;5;5;65;10,83;6;253;;;;;;;;
44326;8;11;2;1;5;1;1;4;3;30;8;3,55;88;;;;;;;;
44424;6;1;2;4;4;1;1;5;2;20;12;15;112;;;;;;;;
17755;6;15;3;1;2;1;0;3;4;25;6;2,49;74;;;;;;;;
44481;5;5;2;1;7;2;0;6;7;50;7,14;7;190;;;;;;;;
17757;8;11;3;1;5;1;0;4;5;35;11,72;3,94;71;;;;;;;;
17758;9;6;1;1;3;1;2;4;4;122;13;9,2;121;;;;;;;;
44505;12;8;2;1;4;1;1;5;4;31;9;3,82;80;;;;;;;;
17764;6;10;3;1;5;1;0;4;4;37;12,55;3,57;86;;;;;;;;
17769;6;15;3;1;5;2;0;4;4;38;17,69;3,59;89;;;;;;;;
17770;12;5;3;4;6;1;1;9;4;55;12;3,65;114;;;;;;;;
44553;9;5;2;1;3;1;1;4;3;44;32,42;3,29;109;;;;;;;;
17773;9;4;3;4;6;2;1;6;6;50;12;3,26;126;;;;;;;;
17775;4;7;3;1;6;2;0;5;5;180;18;10;61;;;;;;;;
17777;9;10;3;1;5;2;0;5;3;54;10;52;103;;;;;;;;
17780;5;8;3;1;5;1;0;3;4;35;17,04;2,86;111;;;;;;;;
17782;10;6;3;1;4;1;0;3;3;35;9;3,57;61;;;;;;;;
44569;5;5;2;4;5;1;0;10;4;90;19;5;108;;;;;;;;
44573;7;9;2;1;4;1;1;4;4;41;26,58;3,54;207;;;;;;;;
17788;5;6;1;1;3;1;1;4;3;200;20;10;110;;;;;;;;
17791;6;1;3;1;5;2;0;6;3;69;27,05;3,4;65;;;;;;;;
44798;4;1;2;1;4;1;0;4;3;70;26,43;3,37;107;;;;;;;;
44884;6;18;2;1;3;1;0;3;3;40;20,11;3,75;128;;;;;;;;
17797;7;6;3;1;2;1;0;2;2;31;3,44;9;69;;;;;;;;
17798;8;9;3;1;5;2;0;4;3;40;6,67;6;90;;;;;;;;
17804;9;5;3;1;4;1;0;3;3;27;9,47;3,83;83;;;;;;;;
17805;7;6;3;4;1;1;0;2;1;16;5;3,54;87;;;;;;;;
17807;6;1;3;4;2;1;0;3;2;18;5,5;3,32;80;;;;;;;;
17810;1;6;1;1;5;2;1;10;5;108;12;9;231;;;;;;;;
17811;1;1;3;1;5;2;0;4;5;60;21,7;2,77;118;;;;;;;;
17813;7;1;3;1;4;1;1;3;2;56;29,75;2,7;58;;;;;;;;
45087;6;5;2;3;3;1;0;3;2;27;8;3,61;177;;;;;;;;
17816;12;9;3;1;4;1;0;3;3;30;9,09;2,29;93;;;;;;;;
17817;1;13;3;1;4;1;0;3;2;32;9;3,94;93;;;;;;;;
17820;7;3;3;1;5;2;0;5;4;50;10;3,51;145;;;;;;;;
17822;8;3;3;1;1;1;0;3;1;36;4;3,54;77;;;;;;;;
17823;3;1;3;1;6;2;0;4;6;45;10;3,75;86;;;;;;;;
17825;5;8;3;1;5;1;1;4;3;53;13;3,61;128;;;;;;;;
17826;10;6;3;1;4;1;0;4;4;35;9;2,3;55;;;;;;;;
17829;4;7;3;1;4;1;1;4;2;73;10,2;7;71;;;;;;;;
17830;5;8;4;4;4;1;0;5;4;44;10;2,89;100;;;;;;;;
17832;6;10;3;1;5;2;1;5;3;50;10;2,97;130;;;;;;;;
46183;5;8;2;1;3;1;0;3;4;46;12;2,02;156;;;;;;;;
17843;4;7;3;1;6;2;1;4;5;72;14,4;5;69;;;;;;;;
46352;10;9;2;1;6;2;0;4;4;90;40,81;3,56;78;;;;;;;;
17846;6;4;3;1;4;1;0;4;2;32;8;3,56;64;;;;;;;;
17847;4;6;3;4;5;1;0;4;4;41;13;4;58;;;;;;;;
17850;10;6;3;4;1;1;0;3;1;35;30,34;3,02;64;;;;;;;;
17851;10;4;4;1;4;1;0;4;4;40;6,7;6;100;;;;;;;;
17852;8;1;3;1;5;1;0;3;5;33;6,5;3,63;122;;;;;;;;
17853;9;10;3;1;5;1;0;3;3;33;9;3,93;112;;;;;;;;
46395;9;9;2;1;4;1;0;4;4;52;19,57;3,69;145;;;;;;;;
17857;8;5;3;1;5;2;0;7;5;40;16,66;3,91;82;;;;;;;;
17858;8;13;3;1;5;2;0;3;5;37;19,31;3,17;64;;;;;;;;
17863;9;6;3;4;2;1;0;3;4;35;7,8;3,89;152;;;;;;;;
46417;6;12;2;1;5;2;0;6;3;63;7;9;161;;;;;;;;
17865;8;5;3;1;5;2;0;5;4;44;26,76;3,86;89;;;;;;;;
17871;4;8;3;1;4;1;0;4;2;41;10;3,69;80;;;;;;;;
46521;7;3;2;1;6;1;1;10;5;65;28,91;3,22;215;;;;;;;;
17874;28;11;3;1;5;2;0;4;5;50;12,5;3,33;50;;;;;;;;
46541;10;13;2;1;1;1;1;3;1;45;18,26;3,21;92;;;;;;;;
17877;9;4;4;4;3;1;1;4;3;48;41,51;3,53;233;;;;;;;;
17879;9;8;3;1;5;2;0;5;5;36;9;3,95;70;;;;;;;;
17880;5;1;3;1;8;2;0;10;8;140;16,47;8,5;170;;;;;;;;
46656;12;4;2;1;10;2;1;10;8;175;25;8;234;;;;;;;;
17885;6;6;3;1;5;1;0;3;3;36;10;2,98;94;;;;;;;;
46664;6;8;2;4;2;1;1;3;2;32;11;2,2;181;;;;;;;;
46788;4;1;2;1;4;1;0;4;2;39;24,87;3,39;100;;;;;;;;
46828;8;3;2;1;3;1;1;3;3;50;21,27;3,53;110;;;;;;;;
17890;9;3;3;1;5;1;0;4;5;40;11;2,69;86;;;;;;;;
17891;6;17;3;1;3;1;1;4;3;53;13;3,57;179;;;;;;;;
17896;7;6;3;1;2;1;0;3;2;36;4;2,55;69;;;;;;;;
46915;8;5;2;1;5;2;0;5;4;67;14;3,48;70;;;;;;;;
17902;4;2;3;1;4;1;0;3;3;32;27,86;3,6;54;;;;;;;;
46994;4;6;2;1;2;1;0;2;2;80;20;3,86;110;;;;;;;;
17904;8;8;3;1;5;2;0;3;4;45;11;3,82;133;;;;;;;;
17906;6;2;3;1;3;1;0;2;2;37;19,94;3,27;91;;;;;;;;
17907;9;5;4;1;4;1;1;5;3;98;23,3;3,41;115;;;;;;;;
17908;6;6;3;1;5;2;0;4;3;35;21,2;2,76;97;;;;;;;;
47001;4;7;2;1;4;1;1;4;4;88;22;2,55;113;;;;;;;;
17911;9;4;3;1;2;1;0;3;2;38;8;3,55;88;;;;;;;;
17917;7;6;3;1;6;2;0;8;6;40;17,57;3,42;90;;;;;;;;
47038;4;8;2;1;4;1;1;5;4;56;8;7;94;;;;;;;;
17920;10;13;3;4;3;1;0;4;2;45;31,58;3,62;102;;;;;;;;
17922;5;8;3;1;3;1;0;3;2;31;19,75;2,69;91;;;;;;;;
47061;8;10;2;4;3;1;1;5;4;40;16,8;3,64;80;;;;;;;;
17927;12;4;3;4;1;1;0;2;1;40;7;6;66;;;;;;;;
17929;10;5;3;1;4;1;0;3;2;33;9;3,35;81;;;;;;;;
47082;9;4;2;1;5;2;1;2;4;19;6,91;3,88;294;;;;;;;;
17934;9;2;3;1;4;1;0;4;3;50;23,51;2,43;62;;;;;;;;
17936;15;4;3;4;2;1;0;2;4;46;9,79;3,78;15;;;;;;;;
17938;5;8;3;1;5;2;1;6;5;55;23,52;3,78;84;;;;;;;;
17941;1;6;1;4;8;1;2;9;8;107;12;9;233;;;;;;;;
47172;5;8;2;4;2;1;1;3;3;43;12;3,93;137;;;;;;;;
17944;4;2;3;1;2;1;0;3;2;30;9;3,57;56;;;;;;;;
17946;7;18;3;1;5;2;0;4;4;40;10;3,9;80;;;;;;;;
47178;10;11;2;1;1;1;1;2;1;48;12;3,91;35;;;;;;;;
17949;5;8;3;1;5;1;0;3;4;35;10;2,99;94;;;;;;;;
17958;9;6;3;4;3;1;0;4;2;40;8;6;127;;;;;;;;
17960;8;7;3;4;3;1;0;4;2;45;10;3,85;68;;;;;;;;
17961;1;6;3;1;4;1;0;4;2;35;20,76;3,73;111;;;;;;;;
17962;10;7;3;1;3;1;0;3;2;35;21,77;3,53;75;;;;;;;;
17965;19;6;3;4;2;1;0;3;2;30;9,38;3,62;46;;;;;;;;
17967;5;2;3;4;5;1;0;4;4;37;11;3,89;148;;;;;;;;
17968;8;5;3;1;5;1;1;6;4;50;17,33;3,57;70;;;;;;;;
17970;7;6;3;1;1;1;0;2;1;40;9,5;2,61;62;;;;;;;;
17971;6;13;3;4;2;1;0;3;2;24;4;6;120;;;;;;;;
17977;8;7;3;1;4;1;0;4;4;40;36,2;2,29;57;;;;;;;;
17984;6;8;3;1;4;1;0;4;4;36;7;5,14;94;;;;;;;;
17986;8;4;3;4;2;1;0;3;4;54;14;3,24;59;;;;;;;;
17988;12;2;3;1;2;1;0;3;4;35;9;3,43;39;;;;;;;;
17990;1;3;3;1;7;1;0;4;7;40;8;3,21;147;;;;;;;;
17992;8;3;3;1;4;1;0;3;2;47;17,22;3,65;76;;;;;;;;
47206;8;4;2;1;5;1;0;4;5;50;10;3,16;69;;;;;;;;
47285;7;19;2;1;4;1;0;4;2;56;27,63;3,79;70;;;;;;;;
17998;6;18;3;1;6;2;0;3;6;30;5,26;5,7;103;;;;;;;;
17999;12;2;3;1;4;1;1;4;2;68;11;6,8;79;;;;;;;;
18000;4;14;3;1;5;1;0;5;3;40;10;3,58;63;;;;;;;;
18003;7;20;3;1;4;1;0;4;4;30;25,59;3,77;66;;;;;;;;
47415;10;10;2;1;4;1;0;3;3;35;10;2,64;48;;;;;;;;
18007;7;13;3;4;3;1;1;4;4;56;11,2;5;171;;;;;;;;
18009;10;4;3;1;4;1;0;4;3;36;9;4;74;;;;;;;;
47436;10;8;2;1;3;1;1;4;2;78;29,11;3,91;91;;;;;;;;
47471;10;16;2;1;4;1;1;3;2;40;12;3,95;36;;;;;;;;
18016;8;7;3;4;6;1;0;6;6;35;9;3,47;74;;;;;;;;
18019;6;5;3;1;4;1;0;4;4;40;25,36;3,66;92;;;;;;;;
18020;7;6;3;1;6;2;0;4;5;30;10;2,52;75;;;;;;;;
47601;7;19;2;1;5;2;0;3;3;30;10,25;3,66;80;;;;;;;;
47670;5;7;2;1;4;1;1;6;2;150;18,75;8;413;;;;;;;;
18033;6;15;3;4;5;2;0;4;4;30;10,46;3,55;193;;;;;;;;
18034;8;2;3;4;1;1;0;1;1;44;5;9;90;;;;;;;;
18040;10;10;3;1;4;1;0;3;3;32;9,8;3,46;51;;;;;;;;
18041;3;6;3;1;4;1;0;4;3;62;12;5,2;109;;;;;;;;
47672;1;7;2;4;1;1;1;3;1;38;3,8;10;205;;;;;;;;
18044;11;12;3;1;4;1;0;4;3;68;13,6;5;63;;;;;;;;
18046;4;1;3;1;3;1;0;2;2;63;18;3,58;71;;;;;;;;
18047;9;6;3;4;1;1;0;3;1;30;10;3,69;99;;;;;;;;
18051;6;10;3;1;4;1;0;4;4;40;17,27;3,56;140;;;;;;;;
18053;1;13;3;1;5;1;0;6;4;45;29,33;2,62;105;;;;;;;;
47694;9;5;2;4;8;2;1;7;8;55;11;5;154;;;;;;;;
18055;28;11;3;1;3;1;0;4;4;39;8;3,8;69;;;;;;;;
18057;5;3;3;4;3;1;0;4;3;40;7,14;5,6;97;;;;;;;;
18061;1;1;3;4;1;1;0;2;1;35;23,69;3,78;91;;;;;;;;
18064;6;2;3;1;3;1;0;2;4;16;7,6;3,92;84;;;;;;;;
47707;5;4;2;4;1;1;1;2;1;125;12;10;359;;;;;;;;
18066;7;6;3;1;3;1;0;3;2;17;5;2,45;97;;;;;;;;
18069;4;6;3;4;1;1;0;3;1;31;12,12;3,16;75;;;;;;;;
18071;1;3;3;1;5;1;0;4;3;46;15,68;4;103;;;;;;;;
47710;28;4;2;1;4;1;1;4;4;45;9;5;66;;;;;;;;
18078;8;3;3;1;5;2;0;3;4;40;4;3,98;76;;;;;;;;
18083;4;1;3;1;6;1;0;6;5;45;15,46;3,84;115;;;;;;;;
18084;5;7;3;1;5;2;0;4;5;34;7;3,32;120;;;;;;;;
47756;10;4;2;1;5;1;0;4;5;48;16,87;3,98;130;;;;;;;;
18087;1;6;3;1;4;1;0;3;3;32;5,33;6;121;;;;;;;;
18092;1;6;3;1;4;1;0;3;2;38;6,33;6;102;;;;;;;;
18095;10;5;3;1;3;1;1;3;2;52;13;3,75;46;;;;;;;;
18096;8;9;3;1;3;1;1;3;3;56;21,47;3,81;86;;;;;;;;
18101;28;8;3;1;4;1;0;6;4;60;15;3,68;39;;;;;;;;
18104;8;8;3;1;4;1;0;3;4;20;10,27;3,85;60;;;;;;;;
18105;10;16;3;1;1;1;0;3;1;30;8;2,92;53;;;;;;;;
18106;7;18;3;1;5;1;0;3;5;25;8;3,09;46;;;;;;;;
47794;5;4;2;4;6;1;0;4;5;120;12;10;374;;;;;;;;
18112;6;7;3;1;5;2;0;3;4;32;6;5,3;103;;;;;;;;
47817;9;8;2;4;6;1;0;4;5;55;11;5;290;;;;;;;;
18116;8;13;3;1;4;1;0;4;4;40;39,94;3,09;50;;;;;;;;
47879;8;5;2;1;5;1;1;5;5;69;45,82;2,28;202;;;;;;;;
48108;5;3;2;4;3;1;1;6;2;65;10,83;6;196;;;;;;;;
18121;9;10;4;1;4;1;1;5;2;55;24,77;3,68;86;;;;;;;;
18126;6;5;3;1;4;1;0;3;4;38;31,57;3,69;105;;;;;;;;
18128;6;10;3;1;4;1;0;2;2;38;18,2;3,26;78;;;;;;;;
18130;19;6;3;1;3;1;0;3;3;30;6;2,37;46;;;;;;;;
18137;8;5;1;1;5;2;1;6;4;68;6,8;10;101;;;;;;;;
48172;8;2;2;4;2;1;1;2;4;102;14,57;7;103;;;;;;;;
18149;9;5;3;1;5;1;0;4;4;35;18,02;2,24;85;;;;;;;;
18151;6;4;3;1;4;1;1;4;4;60;29,14;3,97;75;;;;;;;;
18152;4;7;3;1;2;1;0;3;3;41;37,85;3,4;97;;;;;;;;
48201;1;12;2;1;9;2;1;10;7;110;41,74;2,04;400;;;;;;;;
18156;6;10;3;1;3;1;0;3;4;28;10,76;2,63;82;;;;;;;;
18157;9;9;3;1;5;2;0;3;4;34;22,79;3,96;76;;;;;;;;
48254;9;11;2;1;5;1;1;3;4;30;13,73;2,76;156;;;;;;;;
18161;10;16;3;1;4;1;1;4;3;48;12;3,5;29;;;;;;;;
18162;27;3;3;1;5;2;0;4;5;31;10;3,51;50;;;;;;;;
18164;1;4;3;1;4;1;0;3;4;32;7;3,73;178;;;;;;;;
18165;10;6;3;1;4;1;0;3;2;33;5,3;6;66;;;;;;;;
18167;4;7;3;1;2;1;0;4;4;72;18;2,32;54;;;;;;;;
18170;5;1;3;1;5;1;0;3;4;33;29,25;3,97;103;;;;;;;;
18172;6;15;3;4;1;1;0;3;1;26;8;35;73;;;;;;;;
18173;1;7;3;1;5;1;0;6;3;48;13;3,63;97;;;;;;;;
18180;5;1;3;1;4;1;0;4;2;35;23,22;3,39;92;;;;;;;;
18182;1;13;3;1;4;1;0;4;4;38;16,85;3,08;78;;;;;;;;
48332;1;5;2;1;5;1;1;4;3;36;17,53;2,55;138;;;;;;;;
18189;10;14;3;1;4;1;0;3;3;33;25;3,56;72;;;;;;;;
48353;6;6;2;4;7;1;1;8;5;150;20;8;40;;;;;;;;
18192;10;10;3;1;4;1;0;3;2;32;9;3,4;47;;;;;;;;
18198;8;2;3;4;2;1;0;3;4;34;10;3,61;79;;;;;;;;
18200;8;3;3;4;4;1;0;5;2;40;27;3,27;62;;;;;;;;
18204;7;1;3;1;4;1;0;3;2;56;11,2;5;58;;;;;;;;
18205;1;9;3;1;5;1;0;3;4;34;9;2,51;110;;;;;;;;
18206;7;6;3;1;3;1;0;3;4;35;4;9;61;;;;;;;;
48421;7;20;2;1;5;2;1;6;5;57;39,21;3,3;245;;;;;;;;
18213;10;10;3;1;5;1;0;4;3;32;9,5;2,44;54;;;;;;;;
18214;7;3;3;1;4;1;0;3;2;20;11,04;3,75;70;;;;;;;;
18215;7;15;3;4;2;1;1;3;4;54;27,06;2,85;87;;;;;;;;
18216;8;3;3;1;5;2;0;3;5;45;4;3,83;66;;;;;;;;
18219;28;14;3;1;4;1;0;4;2;45;9;3,49;75;;;;;;;;
18221;10;16;3;1;3;1;0;3;4;34;10;3,74;41;;;;;;;;
18222;6;20;3;1;5;2;0;4;4;33;15,69;2,74;89;;;;;;;;
18224;8;2;3;1;5;2;1;4;3;60;12;5;99;;;;;;;;
18227;6;15;3;4;4;1;1;10;3;70;48,66;3,81;137;;;;;;;;
18228;7;6;3;4;2;1;1;2;2;55;27,88;3,88;41;;;;;;;;
18231;5;8;3;1;5;1;0;3;5;32;14,59;3,89;82;;;;;;;;
18232;1;14;3;4;6;2;0;4;4;42;11;3,96;91;;;;;;;;
18233;9;5;3;1;2;1;1;2;2;52;22,45;2,95;57;;;;;;;;
18234;5;8;3;1;3;1;0;3;2;33;10;2,31;84;;;;;;;;
18235;11;12;3;1;4;1;1;4;2;50;12,5;3,63;48;;;;;;;;
18241;7;6;3;1;4;1;0;5;3;30;14,09;3,88;103;;;;;;;;
18247;5;1;3;1;3;1;1;4;2;50;9;5,6;70;;;;;;;;
48588;6;21;2;1;5;1;0;7;5;65;11,82;5,5;284;;;;;;;;
18255;8;1;3;4;2;1;0;3;2;38;10;3,99;72;;;;;;;;
18256;8;8;3;1;4;1;0;3;4;40;17,06;3,45;52;;;;;;;;
18258;10;14;3;1;5;2;0;3;4;33;28,78;2,7;87;;;;;;;;
18259;12;2;3;1;4;1;0;4;4;36;10;3,06;81;;;;;;;;
48643;4;1;2;4;2;1;1;3;4;35;22,34;3,09;71;;;;;;;;
18261;9;4;3;1;4;1;0;3;2;45;17,19;3,34;74;;;;;;;;
48774;10;17;2;1;3;1;0;3;4;35;6;6;80;;;;;;;;
18265;19;8;3;1;4;1;0;4;3;33;9;35;63;;;;;;;;
18267;11;12;3;1;5;1;0;3;3;36;9;3,68;77;;;;;;;;
18269;11;1;3;1;5;2;1;4;3;51;13,5;3,74;90;;;;;;;;
18270;8;6;3;1;1;1;0;1;1;30;18,53;3,67;55;;;;;;;;
18271;8;8;3;1;4;1;0;2;4;37;24,83;3,58;81;;;;;;;;
48829;9;5;2;1;6;1;0;6;5;50;29,31;3,34;102;;;;;;;;
18274;6;9;3;1;4;1;1;4;4;72;14,5;5;100;;;;;;;;
18278;9;5;3;4;1;1;0;3;1;34;10;2,25;94;;;;;;;;
48886;5;7;2;1;4;1;0;5;4;55;11;5,9;181;;;;;;;;
18286;7;10;3;4;2;1;0;3;3;40;7;6;85;;;;;;;;
18289;6;7;3;4;4;1;0;4;4;45;12;3,51;121;;;;;;;;
49005;5;7;2;4;5;2;1;4;5;40;10;2,27;107;;;;;;;;
18294;9;5;3;4;4;1;1;6;3;55;11;3,07;89;;;;;;;;
18295;4;6;3;1;5;1;0;3;5;33;8;3,71;74;;;;;;;;
18296;6;12;3;1;1;1;0;2;1;34;11;3,29;88;;;;;;;;
49007;3;1;2;4;1;1;0;3;1;77;20;3,76;64;;;;;;;;
18300;6;6;3;1;4;1;0;4;3;50;12,5;3,62;115;;;;;;;;
49230;6;1;2;1;5;2;0;3;5;30;12,64;3,92;117;;;;;;;;
49239;19;12;2;4;6;2;0;5;4;35;10;3,15;78;;;;;;;;
18304;6;10;3;1;4;1;1;4;2;58;38,43;3,91;74;;;;;;;;
18305;8;4;3;1;1;1;0;3;1;30;10;3,73;81;;;;;;;;
49359;9;6;2;1;4;1;1;4;3;50;15;3,63;126;;;;;;;;
18309;1;7;3;1;3;1;0;4;2;45;18,2;3,84;80;;;;;;;;
18311;9;3;3;1;4;1;0;4;3;43;8;2,75;67;;;;;;;;
18316;3;1;3;1;5;1;0;4;4;43;9;3,12;139;;;;;;;;
18319;8;8;3;1;4;1;0;3;2;40;31,57;3,32;55;;;;;;;;
49398;7;18;2;1;5;2;0;4;5;53;41,2;3,33;316;;;;;;;;
18324;1;1;3;1;4;1;0;4;4;36;25,55;2,95;116;;;;;;;;
18325;7;3;3;4;1;1;0;2;1;24;11,73;3,56;61;;;;;;;;
49562;5;4;2;4;6;2;0;4;5;50;24,67;3,06;130;;;;;;;;
18329;8;5;3;1;5;2;1;5;5;50;10,5;3,29;60;;;;;;;;
18330;8;2;4;1;5;2;0;5;5;76;16,5;3,24;118;;;;;;;;
18333;6;21;3;4;6;2;0;4;6;44;23,15;3,81;181;;;;;;;;
49589;6;5;2;1;4;1;1;5;2;48;9;2,97;116;;;;;;;;
18338;10;2;3;1;5;2;0;4;5;32;8;3,75;59;;;;;;;;
18340;2;2;3;3;2;1;0;2;2;32;11;3,21;281;;;;;;;;
49637;1;13;2;1;5;1;0;5;5;45;11;2,92;140;;;;;;;;
18342;28;10;3;1;4;1;0;4;2;38;10;3,07;55;;;;;;;;
18345;6;5;3;1;4;1;0;5;3;32;8;3,57;75;;;;;;;;
18351;9;11;3;1;4;1;0;2;3;30;10,46;3,38;78;;;;;;;;
18360;5;6;3;1;5;2;0;5;5;52;13;3,82;130;;;;;;;;
18361;6;15;3;1;3;1;0;2;4;41;14;3,53;92;;;;;;;;
18362;6;11;3;1;3;1;0;4;4;50;25,72;2,38;86;;;;;;;;
18364;10;15;3;1;4;1;0;3;4;35;10;3,28;71;;;;;;;;
18366;8;7;3;1;5;2;0;5;4;33;21,44;3,76;84;;;;;;;;
18368;10;16;3;1;4;1;0;3;4;34;9;3,07;53;;;;;;;;
18371;1;4;3;1;5;1;0;3;3;35;16,95;3,82;85;;;;;;;;
18373;7;18;3;4;2;1;0;3;4;40;20,83;2,01;80;;;;;;;;
18374;10;15;3;1;5;2;1;6;3;55;5,5;10;78;;;;;;;;
18387;10;16;3;1;4;1;0;4;2;31;9,25;3,73;63;;;;;;;;
18390;4;9;3;4;1;1;0;2;1;38;6,33;6;63;;;;;;;;
49652;5;8;2;1;3;1;0;4;3;50;4;12,5;100;;;;;;;;
18396;6;18;3;4;1;1;0;3;1;21;8,08;2,65;119;;;;;;;;
18399;6;10;3;1;5;1;0;3;4;30;6;3,83;120;;;;;;;;
18400;5;5;3;1;5;1;1;6;4;55;10;5,5;118;;;;;;;;
18406;10;16;3;1;4;1;0;3;2;33;9;2,37;51;;;;;;;;
18407;2;15;3;1;4;1;0;3;4;36;12;3,38;44;;;;;;;;
49873;17;3;2;1;1;1;1;1;1;44;11;3,52;38;;;;;;;;
18412;5;5;3;1;5;1;0;4;3;45;19,91;3,32;117;;;;;;;;
18414;5;7;3;1;6;2;0;5;5;45;14;3,65;95;;;;;;;;
18415;10;16;3;1;4;1;0;3;4;32;8;3,77;50;;;;;;;;
18416;9;5;3;4;1;1;0;3;1;30;18,39;3,33;75;;;;;;;;
18417;8;13;3;3;2;1;0;1;3;40;10;3,97;18;;;;;;;;
