;Quận;Huyện;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Số  ngủ;Diện tích;Dài;Rộng;Giá/m2
6399;Quận Cầu Giấy;Phường Yên Hoà;3;4;NaN;4;45 m²;NaN;6.2 m;117,78
6401;Quận Hà Đông;Phường Hà Cầu;3;1;4;4;43 m²;11 m;39 m;91,86
6403;Quận Hai Bà Trưng;Phường Lê Đại Hành;3;1;4;4;78 m²;NaN;4 m;166,67
6404;Quận Hai Bà Trưng;Phường Minh Khai;3;1;4;4;45 m²;11.2 m;4 m;88,89
6405;Quận Đống Đa;Phường Quốc Tử Giám;3;4;NaN;2;16 m²;NaN;3.55 m;121,88
6407;Quận Ba Đình;Phường Liễu Giai;3;1;1;1;32 m²;8 m;4 m;62,5
6408;Quận Ba Đình;Phường Giảng Võ;3;1;NaN;3;22 m²;NaN;4.8 m;90,91
6419;Quận Hà Đông;Phường Phú Lãm;2;1;4;3;33 m²;9 m;3.5 m;45,45
6420;Quận Long Biên;Phường Gia Thụy;3;1;5;4;52 m²;NaN;4.2 m;91,35
6421;Quận Hoàng Mai;Phường Đại Kim;3;4;NaN;5;76 m²;18 m;4.2 m;77,63
6422;Quận Đống Đa;Phường Thổ Quan;3;1;NaN;4;33 m²;11 m;3 m;69,7
6425;Quận Hà Đông;Phường La Khê;3;1;4;4;35 m²;NaN;4 m;60
6426;Huyện Thanh Trì;Xã Tân Triều;3;4;NaN;4;40 m²;NaN;4 m;91,25
6430;Quận Hai Bà Trưng;Phường Trương Định;3;1;5;4;45 m²;NaN;4 m;53,33
6431;Quận Đống Đa;Phường Khương Thượng;3;1;5;3;27 m²;7 m;4 m;122,22
6435;Quận Đống Đa;Phường Ô Chợ Dừa;3;1;5;3;31 m²;NaN;5 m;108,06
6438;Quận Hà Đông;Phường Hà Cầu;3;1;5;3;30 m²;NaN;4 m;76
6440;Quận Hoàng Mai;Phường Tương Mai;3;1;5;3;32 m²;8 m;4 m;78,13
6443;Quận Cầu Giấy;Phường Trung Hoà;3;4;NaN;4;57 m²;NaN;4 m;91,23
6444;Quận Thanh Xuân;Phường Nhân Chính;3;1;6;1;40 m²;NaN;4 m;70
6445;Quận Đống Đa;Phường Láng Thượng;3;1;5;3;32 m²;6 m;5.3 m;103,13
6449;Quận Tây Hồ;Phường Xuân La;2;1;1;2;188 m²;NaN;12 m;313,83
6451;Quận Đống Đa;Phường Quang Trung;3;1;3;3;52 m²;7 m;7.4 m;76,92
6452;Quận Thanh Xuân;Phường Khương Trung;3;1;1;2;40 m²;8 m;5 m;55
6454;Quận Hà Đông;Phường La Khê;2;4;NaN;3;33 m²;8.5 m;3.8 m;66,06
6461;Quận Cầu Giấy;Phường Quan Hoa;3;1;5;4;40 m²;NaN;3.5 m;130
6462;Quận Thanh Xuân;Phường Thanh Xuân Trung;3;1;4;4;31 m²;NaN;3 m;87,1
6465;Quận Hoàng Mai;Phường Tân Mai;3;1;5;4;40 m²;NaN;3.5 m;62,5
6467;Quận Hà Đông;Phường La Khê;2;4;NaN;3;35 m²;7.8 m;5 m;60
6469;Quận Hà Đông;Phường La Khê;3;4;NaN;4;35 m²;NaN;3.7 m;70
6472;Quận Hà Đông;Phường Văn Quán;3;4;NaN;4;53 m²;15.1 m;3.5 m;109,43
6473;Quận Cầu Giấy;Phường Yên Hoà;1;1;7;7;71 m²;25 m;4.2 m;242,25
6475;Quận Hà Đông;Phường Hà Cầu;3;4;NaN;4;52 m²;NaN;6 m;64,42
6476;Quận Hà Đông;Phường Yết Kiêu;2;4;NaN;3;33 m²;9 m;3.5 m;93,94
6477;Quận Đống Đa;Phường Trung Liệt;3;1;NaN;3;28 m²;NaN;3 m;96,43
6484;Quận Hai Bà Trưng;Phường Minh Khai;2;1;4;2;30 m²;NaN;3.2 m;83,33
6489;Quận Hà Đông;Phường Yên Nghĩa;3;1;3;3;36 m²;10 m;3.6 m;44,17
6490;Huyện Hoài Đức;Xã Vân Canh;3;1;4;3;33 m²;6.09 m;5.85 m;66,06
6491;Quận Hai Bà Trưng;Phường Trương Định;3;1;5;3;30 m²;NaN;3.1 m;78,33
6499;Quận Tây Hồ;Phường Thụy Khuê;3;1;4;3;25 m²;NaN;3.5 m;116
6502;Quận Cầu Giấy;Phường Nghĩa Tân;3;1;5;4;98 m²;14.5 m;6.8 m;77,55
6503;Quận Hoàng Mai;Phường Vĩnh Hưng;2;1;3;3;36 m²;9 m;4 m;133,33
6512;Quận Hai Bà Trưng;Phường Vĩnh Tuy;3;2;4;2;30 m²;7.5 m;4 m;53,33
6514;Quận Hà Đông;Phường Phú Lương;2;1;NaN;10;70 m²;NaN;4.5 m;110
6516;Quận Hai Bà Trưng;Phường Bạch Mai;3;1;4;2;31 m²;NaN;5.2 m;87,1
6518;Quận Hà Đông;Phường Yên Nghĩa;3;4;NaN;4;34.6 m²;10.4 m;3.26 m;55,88
6519;Quận Hà Đông;Phường Văn Quán;2;1;5;3;38 m²;10.5 m;3.5 m;57,89
6520;Quận Hà Đông;Phường La Khê;3;4;NaN;4;32 m²;6.5 m;5 m;76,56
6532;Quận Đống Đa;Phường Trung Tự;3;1;5;3;50 m²;12.5 m;4 m;81
6538;Quận Hoàng Mai;Phường Tân Mai;3;1;5;2;41 m²;NaN;4.1 m;102,44
6540;Quận Hai Bà Trưng;Phường Thanh Lương;3;1;4;3;34 m²;NaN;4 m;58,82
6542;Quận Hà Đông;Phường La Khê;3;1;NaN;4;46 m²;12 m;4.2 m;71,74
6546;Quận Thanh Xuân;Phường Khương Đình;3;1;4;4;45 m²;11.25 m;4 m;98,89
6550;Quận Tây Hồ;Phường Xuân La;3;1;5;6;75 m²;NaN;7.6 m;105,33
6551;Quận Hà Đông;Phường Phú Lương;3;4;NaN;3;30 m²;7 m;4 m;52,67
6553;Quận Thanh Xuân;Phường Khương Đình;3;2;3;4;45 m²;NaN;4.3 m;66,67
6555;Quận Đống Đa;Phường Khâm Thiên;3;1;NaN;4;35 m²;NaN;3.8 m;85,43
6561;Quận Bắc Từ Liêm;Phường Xuân Đỉnh;3;1;4;4;75 m²;NaN;5 m;58
6562;Quận Hai Bà Trưng;Phường Vĩnh Tuy;3;1;4;4;47 m²;NaN;5 m;70,21
6563;Quận Thanh Xuân;Phường Khương Mai;2;1;NaN;2;41 m²;NaN;6.6 m;78,05
6564;Quận Hoàng Mai;Phường Tân Mai;3;1;4;3;42 m²;NaN;3.5 m;65,48
6565;Quận Hoàng Mai;Phường Tương Mai;3;1;4;4;35 m²;NaN;4 m;57,14
6569;Quận Hà Đông;Phường Quang Trung;3;1;NaN;4;46 m²;15 m;4 m;69,57
6570;Quận Hà Đông;Phường Phúc La;4;1;5;6;75 m²;15 m;5 m;79,73
6573;Quận Đống Đa;Phường Phương Mai;3;1;3;3;35 m²;NaN;4.1 m;97,14
6583;Quận Cầu Giấy;Phường Yên Hoà;3;1;4;4;45 m²;13.5 m;3.6 m;75,56
6584;Quận Long Biên;Phường Thạch Bàn;3;1;5;3;35 m²;NaN;3.75 m;97,71
6585;Quận Hoàng Mai;Phường Định Công;3;4;NaN;4;43 m²;NaN;4 m;88,37
6586;Huyện Gia Lâm;Thị trấn Trâu Quỳ;4;2;NaN;4;71 m²;NaN;6 m;121,13
6587;Quận Hai Bà Trưng;Phường Đồng Tâm;3;1;3;2;17 m²;5 m;3 m;76,47
6589;Huyện Thanh Trì;Xã Thanh Liệt;3;4;5;4;50 m²;NaN;4 m;56
6591;Quận Hoàng Mai;Phường Vĩnh Hưng;3;1;4;3;36 m²;8.8 m;4.2 m;83,06
6592;Quận Thanh Xuân;Phường Khương Trung;3;1;4;4;49 m²;9 m;5.3 m;61,22
6593;Quận Hai Bà Trưng;Phường Đồng Tâm;2;4;NaN;4;50 m²;9 m;4.5 m;179,6
6599;Quận Hoàng Mai;Phường Hoàng Văn Thụ;2;1;5;3;35 m²;NaN;4 m;92,86
6601;Quận Thanh Xuân;Phường Thanh Xuân Trung;3;1;NaN;5;34 m²;NaN;32 m;81,47
6604;Quận Hoàng Mai;Phường Vĩnh Hưng;3;1;4;3;36 m²;8.5 m;4.2 m;83,06
6605;Quận Long Biên;Phường Ngọc Lâm;2;1;5;6;54 m²;11 m;4.5 m;87,96
6607;Quận Cầu Giấy;Phường Yên Hoà;3;1;6;4;50 m²;NaN;3.5 m;146
6609;Quận Hoàng Mai;Phường Hoàng Văn Thụ;3;1;5;4;35 m²;NaN;4 m;92,86
6612;Quận Thanh Xuân;Phường Thượng Đình;3;1;5;3;35 m²;NaN;3.5 m;105,71
6613;Quận Hoàng Mai;Phường Lĩnh Nam;2;1;8;6;120 m²;30 m;4 m;204,17
6614;Quận Thanh Xuân;Phường Hạ Đình;2;1;NaN;5;35 m²;10 m;3.5 m;79,14
6615;Quận Đống Đa;Phường Trung Liệt;2;1;4;4;100 m²;20 m;5 m;215
6617;Quận Hoàng Mai;Phường Hoàng Liệt;3;1;4;3;31 m²;NaN;4 m;85,16
6618;Quận Nam Từ Liêm;Phường Mỹ Đình 1;3;4;NaN;2;52 m²;10 m;5 m;34,62
6621;Quận Hoàng Mai;Phường Tương Mai;3;1;5;5;48 m²;NaN;4.7 m;93,33
6623;Quận Long Biên;Phường Long Biên;3;1;NaN;4;46 m²;12 m;4 m;47,83
6624;Quận Tây Hồ;Phường Quảng An;2;1;5;5;200 m²;NaN;14 m;275
6625;Quận Thanh Xuân;Phường Khương Mai;3;1;NaN;4;51 m²;10 m;5 m;84,31
6627;Quận Cầu Giấy;Phường Trung Hoà;3;1;4;4;90 m²;NaN;6.8 m;84,44
6628;Quận Cầu Giấy;Phường Mai Dịch;3;1;NaN;5;38 m²;NaN;5.6 m;100
6634;Quận Nam Từ Liêm;Phường Mỹ Đình 2;3;1;5;2;35 m²;12 m;3.1 m;82,86
6636;Quận Nam Từ Liêm;Phường Phú Đô;3;1;5;5;35 m²;NaN;4.5 m;98,57
6639;Quận Hà Đông;Phường La Khê;2;4;NaN;5;50 m²;12.5 m;4 m;130
6654;Quận Cầu Giấy;Phường Trung Hoà;2;1;2;2;40 m²;NaN;4 m;142,5
6659;Quận Thanh Xuân;Phường Khương Trung;3;1;NaN;8;70 m²;17 m;4 m;102,86
6660;Quận Thanh Xuân;Phường Khương Trung;3;1;5;4;40 m²;NaN;4.5 m;87,5
6670;Quận Hai Bà Trưng;Phường Vĩnh Tuy;2;1;6;9;58 m²;15 m;4 m;237,93
6671;Quận Cầu Giấy;Phường Dịch Vọng Hậu;3;1;4;4;40 m²;40 m;40 m;73,75
6673;Quận Tây Hồ;Phường Xuân La;2;1;6;5;143 m²;20 m;6 m;251,05
6679;Quận Ba Đình;Phường Đội Cấn;3;1;4;2;46 m²;11.5 m;4.1 m;206,52
6680;Quận Thanh Xuân;Phường Khương Đình;3;4;NaN;4;50 m²;NaN;4 m;60
6682;Quận Hoàng Mai;Phường Lĩnh Nam;3;1;4;4;34 m²;NaN;4 m;76,47
6683;Quận Cầu Giấy;Phường Dịch Vọng;3;4;NaN;3;40 m²;10 m;4 m;73,75
6684;Quận Thanh Xuân;Phường Nhân Chính;3;1;5;3;35 m²;NaN;7.1 m;78,57
6691;Quận Hai Bà Trưng;Phường Trương Định;3;1;4;4;58 m²;14 m;4.15 m;89,66
6692;Quận Bắc Từ Liêm;Phường Cổ Nhuế 2;3;1;4;4;32 m²;NaN;4.6 m;68,75
6695;Quận Nam Từ Liêm;Phường Đại Mỗ;3;4;NaN;4;38 m²;NaN;4 m;82,89
6707;Quận Đống Đa;Phường Quang Trung;3;4;NaN;4;78 m²;10 m;7.8 m;115,37
6711;Quận Thanh Xuân;Phường Khương Mai;3;4;NaN;6;35 m²;10 m;36 m;114,29
6721;Quận Ba Đình;Phường Liễu Giai;3;4;NaN;3;28 m²;NaN;3 m;114,29
6726;Quận Cầu Giấy;Phường Yên Hoà;3;1;NaN;3;45 m²;NaN;4 m;102,22
6736;Quận Hoàng Mai;Phường Tương Mai;3;1;5;4;35 m²;NaN;3.5 m;84,29
6745;Quận Cầu Giấy;Phường Yên Hoà;3;1;NaN;6;65 m²;NaN;5.5 m;198,46
6749;Quận Thanh Xuân;Phường Khương Trung;3;1;5;5;45 m²;NaN;5 m;108,89
6751;Quận Hoàng Mai;Phường Hoàng Văn Thụ;2;1;5;5;45 m²;12 m;4 m;144,44
6760;Quận Hoàng Mai;Phường Tương Mai;3;1;4;3;30 m²;NaN;4.8 m;101,67
6763;Quận Thanh Xuân;Phường Khương Đình;3;4;NaN;4;50 m²;NaN;4 m;60
6764;Quận Long Biên;Phường Thạch Bàn;3;1;4;4;45 m²;NaN;4 m;60
6774;Quận Hà Đông;Phường Mộ Lao;3;1;NaN;4;50 m²;14.2 m;3.5 m;100
6776;Quận Hoàng Mai;Phường Thịnh Liệt;3;1;5;3;35 m²;NaN;3.6 m;88,57
6777;Quận Hai Bà Trưng;Phường Minh Khai;3;1;5;3;37 m²;10 m;4 m;77,03
6779;Quận Cầu Giấy;Phường Dịch Vọng;3;1;5;4;50 m²;5.6 m;9 m;68
6780;Quận Hai Bà Trưng;Phường Thanh Lương;3;1;4;3;77 m²;9 m;4 m;31,17
6786;Quận Thanh Xuân;Phường Nhân Chính;3;1;5;3;43 m²;NaN;5 m;76,74
6789;Quận Ba Đình;Phường Cống Vị;3;1;3;2;41 m²;NaN;6 m;75,61
6793;Quận Đống Đa;Phường Quốc Tử Giám;3;1;2;2;31 m²;NaN;5.2 m;74,19
6797;Quận Hai Bà Trưng;Phường Minh Khai;3;1;5;4;25 m²;7 m;3 m;92
6805;Quận Hoàng Mai;Phường Đại Kim;3;4;NaN;3;33 m²;NaN;8 m;83,33
6806;Quận Ba Đình;Phường Kim Mã;3;4;NaN;3;34 m²;11 m;3 m;92,65
6807;Quận Bắc Từ Liêm;Phường Phú Diễn;2;1;NaN;4;75 m²;NaN;18 m;97,33
6809;Quận Cầu Giấy;Phường Quan Hoa;3;1;2;2;31 m²;NaN;3 m;66,13
6813;Quận Hai Bà Trưng;Phường Minh Khai;3;1;5;3;35 m²;NaN;4.2 m;75,71
6814;Quận Đống Đa;Phường Thịnh Quang;2;1;4;2;25 m²;8 m;3.2 m;76
6816;Quận Hà Đông;Phường Vạn Phúc;3;4;NaN;2;30 m²;10 m;3.2 m;75
6817;Quận Ba Đình;Phường Ngọc Hà;3;1;NaN;2;18 m²;6 m;3 m;91,67
6818;Quận Đống Đa;Phường Thổ Quan;3;4;NaN;3;15 m²;NaN;3.56 m;90,67
6821;Quận Hai Bà Trưng;Phường Trương Định;3;4;NaN;3;81 m²;NaN;4.3 m;40,74
6824;Quận Ba Đình;Phường Vĩnh Phúc;3;1;4;4;38 m²;NaN;3 m;81,58
6828;Quận Thanh Xuân;Phường Kim Giang;2;1;5;3;33 m²;8 m;4 m;87,88
6830;Quận Hoàng Mai;Phường Lĩnh Nam;2;1;NaN;3;30 m²;8 m;4 m;123,33
6833;Quận Thanh Xuân;Phường Thanh Xuân Nam;3;1;NaN;4;38 m²;11 m;3.3 m;53,95
6839;Quận Nam Từ Liêm;Phường Phương Canh;3;1;4;6;30 m²;10 m;3 m;81,67
6843;Quận Cầu Giấy;Phường Yên Hoà;3;1;5;4;50 m²;7.5 m;6.2 m;106
6845;Quận Đống Đa;Phường Cát Linh;3;1;5;3;30 m²;NaN;5 m;111,67
6847;Quận Hà Đông;Phường Phú Lương;3;1;4;3;34 m²;10 m;3.4 m;45,88
6848;Quận Hoàng Mai;Phường Giáp Bát;2;1;4;4;52 m²;NaN;5 m;125
6852;Quận Cầu Giấy;Phường Nghĩa Đô;2;1;5;5;45 m²;11 m;4 m;140
6858;Quận Đống Đa;Phường Thịnh Quang;3;1;5;6;45 m²;NaN;4 m;93,33
6860;Quận Đống Đa;Phường Quang Trung;2;1;5;3;30 m²;NaN;3.5 m;253,33
6861;Quận Ba Đình;Phường Vĩnh Phúc;3;1;NaN;3;30 m²;NaN;3.5 m;98,33
6864;Quận Cầu Giấy;Phường Yên Hoà;3;1;5;3;35 m²;7 m;4.5 m;94,29
6867;Quận Thanh Xuân;Phường Hạ Đình;3;4;NaN;4;33 m²;NaN;3.2 m;96,97
6868;Quận Đống Đa;Phường Ô Chợ Dừa;2;4;NaN;3;15 m²;5 m;3 m;333,33
6869;Quận Cầu Giấy;Phường Nghĩa Đô;3;1;1;3;59 m²;19000 m;3400 m;81,36
6879;Quận Đống Đa;Phường Phương Liên;2;4;NaN;3;42 m²;NaN;4.2 m;110,71
6882;Quận Cầu Giấy;Phường Yên Hoà;3;1;5;6;45 m²;NaN;4 m;124,44
6884;Quận Ba Đình;Phường Đội Cấn;3;4;NaN;3;42 m²;NaN;4 m;123,81
6885;Quận Thanh Xuân;Phường Thanh Xuân Nam;3;1;4;5;44 m²;11 m;4 m;81,82
6887;Quận Thanh Xuân;Phường Khương Đình;3;4;NaN;4;41 m²;10 m;4.1 m;80,49
6889;Quận Hoàng Mai;Phường Yên Sở;3;1;4;3;47 m²;8 m;6 m;55,32
6891;Quận Cầu Giấy;Phường Mai Dịch;3;1;NaN;8;60 m²;NaN;3.7 m;120
6894;Quận Hai Bà Trưng;Phường Minh Khai;3;4;NaN;3;30 m²;8 m;4 m;93,33
6895;Quận Hoàng Mai;Phường Vĩnh Hưng;3;4;NaN;4;85 m²;NaN;4.7 m;84,71
6896;Quận Bắc Từ Liêm;Phường Đức Thắng;2;1;NaN;5;30 m²;10 m;3.2 m;116,67
6897;Quận Thanh Xuân;Phường Khương Mai;2;1;5;8;56.6 m²;12.2 m;4.6 m;142,86
6904;Quận Thanh Xuân;Phường Khương Trung;3;1;4;4;56 m²;NaN;4 m;75
6905;Quận Hà Đông;Phường Quang Trung;3;4;NaN;4;41 m²;NaN;3.7 m;94,88
6906;Quận Đống Đa;Phường Thịnh Quang;3;1;4;3;48 m²;NaN;55 m;72,92
6908;Quận Hà Đông;Phường Phú La;2;1;NaN;1;30 m²;10 m;3 m;61,67
6909;Quận Nam Từ Liêm;Phường Mỹ Đình 1;2;1;6;10;65 m²;16 m;4 m;111,54
6912;Quận Hà Đông;Phường Kiến Hưng;4;1;5;6;68 m²;14 m;5 m;110,29
6913;Quận Hà Đông;Phường Quang Trung;2;1;4;3;32 m²;NaN;4.4 m;92,19
6916;Quận Đống Đa;Phường Phương Mai;3;1;NaN;3;40 m²;NaN;5 m;96,25
6917;Quận Hà Đông;Phường La Khê;2;2;NaN;3;162 m²;NaN;9 m;98,77
6920;Quận Tây Hồ;Phường Bưởi;1;1;4;6;200 m²;NaN;15 m;100
6922;Quận Hoàng Mai;Phường Thịnh Liệt;2;1;4;4;45 m²;NaN;4 m;62,22
6925;Quận Đống Đa;Phường Cát Linh;3;4;NaN;3;14 m²;NaN;3.55 m;96,43
6928;Quận Thanh Xuân;Phường Phương Liệt;2;1;NaN;6;62 m²;NaN;5 m;193,55
6932;Quận Thanh Xuân;Phường Khương Đình;3;1;5;4;37 m²;NaN;5 m;72,97
6936;Quận Hai Bà Trưng;Phường Bạch Mai;3;1;NaN;3;35 m²;NaN;5 m;71,43
6941;Quận Hà Đông;Phường Dương Nội;2;1;4;4;44 m²;NaN;3.5 m;113,64
6944;Quận Cầu Giấy;Phường Quan Hoa;3;1;NaN;4;98 m²;144 m;68 m;77,55
6945;Quận Hoàng Mai;Phường Thanh Trì;2;1;5;3;30 m²;6 m;5 m;126,67
6952;Quận Hoàng Mai;Phường Tân Mai;3;4;NaN;4;30 m²;8 m;4 m;95
6955;Quận Hà Đông;Phường Quang Trung;3;4;NaN;5;47 m²;NaN;3.9 m;113,83
6958;Quận Nam Từ Liêm;Phường Đại Mỗ;3;1;5;5;42 m²;10 m;4.2 m;61,9
6961;Quận Thanh Xuân;Phường Thanh Xuân Trung;3;1;NaN;4;40 m²;NaN;4.5 m;132,5
6962;Quận Thanh Xuân;Phường Khương Đình;3;4;NaN;4;42 m²;10.5 m;4 m;78,57
6967;Quận Ba Đình;Phường Kim Mã;1;4;5;5;59 m²;10 m;6.3 m;110,17
6968;Quận Hà Đông;Phường Mộ Lao;3;4;NaN;3;53 m²;NaN;5.7 m;55,66
6974;Quận Hai Bà Trưng;Phường Trương Định;2;4;NaN;3;30 m²;NaN;4 m;60
6976;Huyện Gia Lâm;Thị trấn Trâu Quỳ;2;1;1;2;34 m²;10 m;3.5 m;73,53
6977;Quận Ba Đình;Phường Cống Vị;3;1;5;3;24 m²;NaN;4.5 m;100
6978;Quận Hà Đông;Phường Vạn Phúc;3;1;4;3;33 m²;NaN;3.5 m;72,73
6979;Quận Thanh Xuân;Phường Khương Trung;3;1;NaN;2;40 m²;8 m;5 m;55
6980;Quận Thanh Xuân;Phường Khương Trung;3;1;NaN;3;34 m²;9 m;4 m;88,24
6981;Huyện Thanh Trì;Xã Đông Mỹ;2;1;NaN;2;100 m²;NaN;6 m;36
6982;Quận Hà Đông;Phường Mộ Lao;3;4;NaN;5;42 m²;5 m;4 m;64,29
6987;Quận Long Biên;Phường Bồ Đề;3;1;NaN;7;43 m²;8 m;6 m;166,28
6994;Quận Thanh Xuân;Phường Thanh Xuân Trung;2;1;5;4;60 m²;10 m;6 m;150
6995;Quận Hà Đông;Phường Yên Nghĩa;3;1;4;4;40 m²;10 m;4 m;47
6996;Quận Long Biên;Phường Cự Khối;3;1;NaN;6;43 m²;8 m;6 m;165,58
6999;Quận Hoàng Mai;Phường Tương Mai;3;1;4;3;30 m²;NaN;4.8 m;101,67
7002;Quận Ba Đình;Phường Cống Vị;2;1;5;6;45 m²;5 m;10 m;240
7004;Quận Hà Đông;Phường Dương Nội;3;1;5;3;33 m²;8 m;4 m;80,3
7005;Quận Thanh Xuân;Phường Khương Mai;3;1;NaN;3;32 m²;8 m;4 m;82,81
7006;Quận Cầu Giấy;Phường Mai Dịch;2;1;7;6;55 m²;NaN;4 m;236,36
7008;Quận Hoàng Mai;Phường Mai Động;3;1;5;3;30 m²;6 m;5.9 m;90
7009;Quận Hoàng Mai;Phường Tân Mai;3;1;NaN;4;30 m²;9 m;3.8 m;105
7010;Quận Đống Đa;Phường Cát Linh;2;1;NaN;4;18 m²;NaN;6 m;238,89
7018;Quận Hà Đông;Phường Yên Nghĩa;3;1;3;4;58 m²;10 m;6 m;29,66
7021;Quận Hoàng Mai;Phường Vĩnh Hưng;3;1;4;4;80 m²;16 m;5 m;71,25
7023;Huyện Hoài Đức;Xã An Khánh;3;1;3;3;31 m²;10 m;3.2 m;48,39
7032;Quận Hà Đông;Phường La Khê;3;4;NaN;3;30 m²;9 m;3.6 m;100
7035;Huyện Đông Anh;Xã Hải Bối;3;1;NaN;3;60 m²;15 m;4 m;36,67
7038;Quận Hoàng Mai;Phường Vĩnh Hưng;3;1;5;3;40 m²;NaN;4 m;65
7045;Quận Hà Đông;Phường La Khê;3;1;4;3;35 m²;NaN;3.3 m;68,57
7046;Quận Long Biên;Phường Cự Khối;3;1;3;4;40 m²;NaN;7 m;66,25
7047;Quận Đống Đa;Phường Láng Hạ;3;4;NaN;5;55 m²;10 m;5.5 m;221,64
7055;Quận Hoàng Mai;Phường Yên Sở;3;1;6;3;32 m²;NaN;4 m;262,5
7056;Quận Thanh Xuân;Phường Nhân Chính;2;1;4;3;43 m²;9 m;4.7 m;87,21
7060;Quận Nam Từ Liêm;Phường Mễ Trì;2;4;8;5;60 m²;NaN;5 m;170
7062;Quận Hoàng Mai;Phường Giáp Bát;3;1;5;3;30 m²;9 m;3.6 m;80
7067;Huyện Gia Lâm;Thị trấn Yên Viên;3;1;3;3;72 m²;14.4 m;5.16 m;86,11
7068;Quận Đống Đa;Phường Ô Chợ Dừa;3;1;NaN;3;38.4 m²;NaN;3.2 m;194,74
7069;Quận Cầu Giấy;Phường Quan Hoa;3;1;4;4;40 m²;9 m;4.5 m;85
7070;Quận Hà Đông;Phường Đồng Mai;3;1;4;3;32.6 m²;10 m;3.3 m;45,31
7074;Quận Hà Đông;Phường Mộ Lao;2;1;NaN;4;30 m²;8 m;4 m;98,33
7075;Quận Hà Đông;Phường Phú Lãm;3;1;3;3;35 m²;9.5 m;3.3 m;47,14
7078;Quận Hà Đông;Phường La Khê;3;1;5;3;33 m²;NaN;4.1 m;68,18
7084;Quận Hà Đông;Phường Yên Nghĩa;3;1;4;3;32 m²;10 m;3.2 m;50
7085;Quận Hoàng Mai;Phường Thanh Trì;3;1;NaN;4;39 m²;7 m;5 m;51,28
7087;Quận Ba Đình;Phường Ngọc Hà;3;4;NaN;3;45 m²;NaN;4 m;106,22
7091;Quận Đống Đa;Phường Trung Phụng;3;1;4;4;33 m²;9 m;3.5 m;83,33
7098;Quận Đống Đa;Phường Trung Tự;3;1;5;3;32 m²;NaN;4 m;126,56
7105;Quận Đống Đa;Phường Phương Mai;3;4;NaN;4;40 m²;8 m;5 m;122,5
7106;Quận Nam Từ Liêm;Phường Mỹ Đình 1;3;1;NaN;3;35 m²;10 m;3.5 m;82,86
7117;Quận Hai Bà Trưng;Phường Trương Định;3;1;5;4;35 m²;NaN;4.2 m;74,29
7120;Quận Đống Đa;Phường Ô Chợ Dừa;3;4;NaN;3;34 m²;NaN;3 m;117,65
7121;Quận Thanh Xuân;Phường Khương Mai;2;1;NaN;3;48 m²;13.8 m;3.5 m;239,58
7124;Quận Thanh Xuân;Phường Thanh Xuân Bắc;3;1;NaN;3;43 m²;8.5 m;5 m;132,56
7127;Huyện Gia Lâm;Xã Cổ Bi;3;1;2;3;67 m²;12 m;5 m;22,39
7131;Quận Đống Đa;Phường Khâm Thiên;3;4;NaN;2;24 m²;4 m;6 m;104,17
7133;Quận Thanh Xuân;Phường Nhân Chính;3;1;5;5;40 m²;11 m;3.7 m;111,25
7134;Quận Cầu Giấy;Phường Trung Hoà;4;4;NaN;6;50 m²;NaN;4.5 m;256
7136;Quận Ba Đình;Phường Vĩnh Phúc;3;1;4;4;35 m²;NaN;4 m;80,86
7138;Quận Bắc Từ Liêm;Phường Xuân Đỉnh;3;4;NaN;4;35 m²;10 m;3.5 m;81,43
7142;Huyện Gia Lâm;Xã Đặng Xá;2;2;NaN;4;132 m²;22 m;6 m;53,79
7144;Quận Hai Bà Trưng;Phường Minh Khai;3;4;NaN;3;41 m²;110 m;4 m;69,51
7146;Quận Ba Đình;Phường Đội Cấn;3;4;NaN;4;50 m²;12 m;3.7 m;90
7150;Quận Đống Đa;Phường Láng Thượng;3;1;5;6;37 m²;NaN;4 m;100
7151;Quận Hai Bà Trưng;Phường Bạch Mai;2;4;NaN;6;70 m²;NaN;4 m;107,14
7152;Quận Hoàn Kiếm;Phường Hàng Buồm;2;1;NaN;4;38 m²;9.5 m;4 m;19,47
7159;Quận Hoàng Mai;Phường Định Công;3;1;NaN;3;35 m²;NaN;3.5 m;81,43
7170;Quận Thanh Xuân;Phường Kim Giang;2;1;4;4;48 m²;12 m;4 m;62,5
7172;Quận Hoàng Mai;Phường Giáp Bát;3;1;5;4;40 m²;10 m;4 m;79,75
7181;Quận Hoàng Mai;Phường Định Công;3;1;NaN;6;52 m²;NaN;4 m;76,92
7185;Quận Ba Đình;Phường Thành Công;3;4;NaN;3;31 m²;10 m;3.06 m;138,71
7197;Quận Tây Hồ;Phường Bưởi;3;1;NaN;2;38 m²;NaN;4.5 m;81,58
7199;Quận Long Biên;Phường Ngọc Thụy;3;4;NaN;4;43 m²;NaN;4.8 m;76,74
7201;Quận Hoàng Mai;Phường Thanh Trì;3;4;NaN;5;63 m²;21 m;3 m;66,67
7206;Quận Hoàng Mai;Phường Tân Mai;2;1;5;3;37 m²;11 m;3.4 m;71,62
7212;Quận Thanh Xuân;Phường Khương Đình;2;1;5;3;32 m²;8 m;4 m;89,06
7216;Quận Hai Bà Trưng;Phường Bạch Mai;3;1;5;6;60 m²;NaN;4 m;121,67
