;Quận;Huyện;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Số  ngủ;Diện tích;Dài;Rộng;Giá/m2
96;Quận Hà Đông;Phường La Khê;3;1;3;2;37 m²;10 m;3.7 m;53,51
98;Quận Nam Từ Liêm;Phường Trung Văn;3;1;1;1;45 m²;10 m;4.5 m;71,11
100;Quận Đống Đa;Phường Ngã Tư Sở;3;1;5;4;41 m²;NaN;4.3 m;207,32
102;Quận Đống Đa;Phường Trung Liệt;3;1;5;3;11 m²;3 m;4 m;131,82
103;Quận Hoàng Mai;Phường Hoàng Liệt;2;1;5;4;44 m²;NaN;4 m;89,77
104;Quận Hoàng Mai;Phường Hoàng Văn Thụ;2;1;3;3;21 m²;7 m;3 m;100
106;Quận Đống Đa;Phường Láng Hạ;3;4;NaN;4;60 m²;NaN;4.8 m;276,67
109;Quận Đống Đa;Phường Quốc Tử Giám;2;1;5;8;75 m²;20 m;6 m;393,33
110;Quận Tây Hồ;Phường Thụy Khuê;3;1;NaN;2;55 m²;11 m;5 m;118,18
111;Quận Hà Đông;Phường Vạn Phúc;3;1;5;3;35 m²;9 m;4 m;71,43
114;Quận Hai Bà Trưng;Phường Trương Định;3;1;NaN;2;30 m²;9 m;3.5 m;71,67
115;Quận Đống Đa;Phường Láng Hạ;3;1;5;4;54 m²;NaN;5 m;200
120;Quận Ba Đình;Phường Kim Mã;3;1;3;2;30 m²;9 m;3.2 m;60
121;Quận Đống Đa;Phường Trung Liệt;2;1;NaN;10;120 m²;50 m;6 m;246,67
122;Quận Long Biên;Phường Đức Giang;2;1;3;4;196 m²;NaN;6 m;80,61
124;Quận Long Biên;Phường Ngọc Thụy;3;1;5;4;37 m²;NaN;4 m;78,38
125;Quận Hai Bà Trưng;Phường Cầu Dền;3;1;5;4;45 m²;NaN;6 m;128,89
128;Quận Hoàng Mai;Phường Hoàng Văn Thụ;3;1;5;3;25 m²;7 m;3.6 m;96
129;Quận Hà Đông;Phường La Khê;3;1;5;3;34 m²;NaN;4.1 m;63,24
132;Quận Hoàng Mai;Phường Mai Động;3;1;4;4;34 m²;NaN;4 m;120,59
137;Quận Hà Đông;Phường Phú La;2;1;5;4;40 m²;10 m;4 m;50
138;Quận Hà Đông;Phường Hà Cầu;3;1;4;3;33 m²;9.5 m;3.5 m;65,15
143;Quận Hoàng Mai;Phường Vĩnh Hưng;3;2;2;2;30 m²;7 m;4 m;28,33
144;Quận Hai Bà Trưng;Phường Trương Định;2;1;NaN;2;36 m²;10 m;3 m;138,89
146;Quận Bắc Từ Liêm;Phường Xuân Đỉnh;3;1;2;3;81 m²;22.5 m;3.6 m;39,51
150;Quận Ba Đình;Phường Đội Cấn;3;1;NaN;3;27 m²;8.7 m;3.1 m;166,67
151;Quận Bắc Từ Liêm;Phường Cổ Nhuế 1;2;1;5;3;45 m²;9 m;4 m;64,44
152;Quận Hoàng Mai;Phường Tân Mai;3;1;NaN;3;30 m²;7 m;4.55 m;95
156;Quận Đống Đa;Phường Ô Chợ Dừa;3;1;4;2;30 m²;NaN;5 m;86,67
157;Quận Hà Đông;Phường Hà Cầu;3;1;4;4;45 m²;NaN;3.3 m;62,22
158;Quận Hà Đông;Phường La Khê;3;1;4;3;36 m²;NaN;3.9 m;59,72
162;Quận Đống Đa;Phường Láng Hạ;2;4;NaN;8;33 m²;10 m;3.3 m;130,3
164;Huyện Thanh Trì;Xã Tam Hiệp;3;1;3;3;36 m²;12 m;3 m;55,22
169;Quận Đống Đa;Phường Quốc Tử Giám;3;1;2;3;31 m²;NaN;5 m;74,19
170;Quận Đống Đa;Phường Láng Hạ;2;4;NaN;10;62 m²;17 m;3.6 m;282,26
171;Quận Hai Bà Trưng;Phường Thanh Lương;3;1;4;3;35 m²;8.75 m;4 m;68,57
