;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2
182;6;18;3;4;1;1;0;3;1;55;15;3,42;54,55
183;10;15;3;1;4;1;0;4;3;60;15;3,52;83,33
186;8;5;3;1;5;1;0;3;5;36;9;3,97;76,39
187;10;9;3;1;5;1;1;4;3;50;37,65;3,55;108
189;10;15;2;1;2;1;1;2;4;45;13;3,46;122,22
191;9;3;3;4;1;1;0;2;1;35;10;3,64;82,86
193;6;10;2;1;6;1;0;6;6;60;8;8;483,33
196;8;9;3;1;3;1;0;2;2;65;23,78;3,8;52,31
201;27;3;3;4;6;2;0;4;6;30;8,04;2,41;51,67
202;8;1;3;4;6;1;0;5;6;32;8;3,78;85,94
204;1;6;3;1;5;1;0;6;3;47;24,15;2,31;101,06
206;11;7;2;1;1;1;0;2;1;58;16,57;2,5;71,55
207;5;8;2;1;3;1;0;4;4;42;4;9;154,76
208;10;5;3;4;3;1;0;4;4;32,1;9,72;3,38;50
209;12;2;3;1;2;1;1;3;2;60;15;3,93;41,67
210;9;7;3;1;3;1;0;5;2;38;17,98;3,45;100
214;8;8;3;1;4;1;1;4;3;49;39,96;3,07;97,96
218;10;16;3;4;1;1;0;3;1;32;8;2,34;56,25
219;10;15;2;1;5;2;1;4;3;37;11;3,38;116,22
221;1;3;3;1;5;2;0;5;3;61;4,6;13,26;116,39
224;8;1;3;4;1;1;0;3;1;35;17,43;3,97;75,71
226;8;8;3;1;5;2;0;3;5;30;10,23;3,51;95
228;11;7;3;1;5;2;0;4;4;35;8,75;2,41;62,86
229;7;1;3;1;3;1;0;2;3;23;8;3,23;82,61
232;1;14;3;1;4;1;0;5;4;38;37,15;3,91;101,32
234;9;6;2;1;4;1;1;4;2;40;4;3,56;140
237;1;11;3;1;1;1;0;2;1;30;13,65;3,68;98,33
239;3;6;1;1;5;2;2;6;3;92;18;5,6;146,74
245;8;3;3;1;6;2;0;4;4;30;18,63;3,27;91,67
247;8;8;4;1;3;1;1;3;2;48;26,39;3,72;65,63
249;5;1;2;1;4;1;0;3;2;47;11,7;2,47;102,13
254;5;4;3;1;4;1;0;4;4;43;11;3,64;90,7
256;9;3;3;1;4;1;0;3;3;40;26,84;3,57;97,5
257;6;12;3;1;3;1;0;3;3;35;33,61;3,12;97,14
259;1;6;3;1;4;1;0;4;4;85;14,17;6;108,24
260;5;6;3;1;4;1;0;4;2;56;15;3,79;81,25
265;7;3;3;1;5;2;0;3;3;25;11,44;3,58;82
266;4;12;3;1;5;2;0;3;5;30;7,5;3,51;75
268;12;5;3;1;5;1;0;4;4;36;9;3,88;73,61
272;9;2;3;1;5;2;0;6;5;35;24,42;3,63;100
276;3;7;3;1;1;1;0;3;1;44;6,29;7;56,82
278;3;1;3;1;5;1;0;4;3;44;12;3,97;154,55
279;10;14;3;1;5;1;0;3;4;30;10;3,84;95
280;4;12;3;1;5;2;0;4;3;37;9;2,86;67,57
284;12;3;3;1;6;2;1;10;5;56;9;6;130,36
286;3;1;3;4;3;1;0;4;4;42;15,99;3,8;154,76
290;8;10;2;4;4;1;1;4;2;34;24,25;3,89;83,82
297;6;8;3;1;5;2;0;3;3;30;7;3,54;71,67
300;7;6;3;1;1;1;0;2;1;40;28,38;2,7;65
302;4;6;2;1;5;1;1;4;5;46;8;6;100
304;10;16;3;4;2;1;0;3;2;32;8;3,51;43,75
305;6;8;3;1;3;1;0;2;2;24;6;3,65;93,75
307;1;7;3;1;3;1;0;2;4;31;17,85;3,02;100
308;10;11;3;4;5;1;0;4;3;41;10;3,62;51,22
310;10;8;2;1;6;1;0;7;5;36;10;3,88;152,78
311;11;12;3;1;5;1;0;3;4;30;9,38;3,96;90
312;10;16;3;4;4;1;0;4;2;36;9;3,27;52,78
313;8;9;3;1;5;2;0;4;3;48;12;3,06;56,25
314;10;13;3;4;2;1;0;3;3;32;8;3,6;53,13
317;10;11;3;4;2;1;0;3;2;32;8;3,44;48,44
318;9;2;3;1;2;1;0;3;2;20;18,48;3,92;77,5
320;1;11;3;1;5;1;0;3;5;26;13,66;3,95;113,46
321;19;12;3;1;3;1;0;2;4;33;9;3,28;46,61
323;3;6;2;1;4;1;0;5;3;185;13;13;200
324;3;3;3;1;4;1;0;4;3;77;11;7;97,4
325;10;15;3;1;1;1;0;1;1;55;10;6;39,09
326;8;6;3;4;2;1;0;3;4;30;21,23;3,25;83,33
329;4;12;3;1;4;1;0;3;4;35;10;3,76;68
331;10;13;2;1;5;1;1;3;3;42;14,28;2,3;133,33
332;7;18;3;1;4;1;0;4;2;55;10;6;160
333;6;4;3;1;4;1;0;3;2;35;7;3,99;85,71
334;10;16;3;1;2;1;0;2;4;30;8;3,97;40
335;10;2;3;1;3;1;0;2;4;30;8;2,35;40,27
339;19;12;3;4;1;1;0;2;1;42;10;42;50
