;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2
10691;6;6;3;1;5;1;1;4;3;50;12;3,54;170
10693;10;10;2;1;5;1;0;3;4;32;10;3,86;47,81
10696;9;10;3;1;6;2;0;5;4;40;10;3,48;120
10697;1;7;3;4;5;1;0;3;3;38;17,29;3,23;86,84
10698;6;10;3;1;4;1;0;2;4;21;11,87;3,77;85,71
10705;9;8;2;1;2;1;0;3;2;35;9;3,51;70
10710;9;6;3;1;5;1;0;3;3;30;9;2,77;113,33
10716;9;4;3;1;5;2;0;6;4;41;11;3,67;173,17
10720;5;8;4;1;4;1;0;4;3;72;18;3,88;80,56
10724;3;4;2;1;6;2;1;10;6;161;19,88;8,1;484,47
10727;10;16;3;1;4;1;0;4;3;36;6;6;38,89
10732;8;13;3;1;6;1;0;4;6;40;10;3,88;66,25
10741;9;1;2;1;5;1;0;6;4;63;26,25;3,85;268,25
10747;9;4;3;1;5;1;1;5;3;80;14;6;95
10751;8;6;3;4;2;1;0;3;3;30;8;3,8;81,67
10753;6;19;3;1;4;1;0;4;4;52;21,95;2,24;93,27
10759;6;5;3;1;4;1;0;4;3;37;11,5;3,73;105,41
10760;3;1;3;1;5;1;0;4;4;55;14;3,87;161,82
10763;5;8;3;4;4;1;0;4;2;38;8,2;3,52;117,11
10765;8;1;2;1;5;2;1;5;5;200;35;11;155
10766;4;7;3;4;2;1;0;3;4;41;10;3,76;45,12
10780;6;2;3;1;5;1;0;6;3;55;27,37;3,51;65,45
10781;7;6;3;1;2;1;0;3;2;15;5;3,51;90,67
10785;7;6;3;4;4;1;0;4;4;35;9;3,6;85,71
10789;3;2;3;1;5;2;0;4;3;45;9;3,57;100
10790;6;16;3;1;3;1;0;3;4;57;8;7;63,16
10791;7;6;3;1;3;1;0;3;3;14;8;2,23;101,43
10799;8;2;3;1;4;1;0;4;4;50;18,54;3,49;74
10805;7;20;3;1;2;1;0;2;2;14;7;2,98;101,43
10808;6;10;3;1;3;1;0;2;2;23;14,97;2,82;102,17
10810;6;6;4;4;4;1;0;5;2;88;10;8,8;93,06
10813;10;5;2;4;3;1;1;4;2;39;12;2,92;123,08
10816;6;6;4;4;4;1;1;4;2;58;10;5,8;134,28
10817;6;5;3;1;4;1;0;3;2;35;5;9;84,29
10819;1;6;3;1;4;1;0;4;3;36;9;3,75;109,17
10821;9;11;3;1;5;2;0;4;4;35;10;3,59;105,71
10824;6;4;3;1;3;1;1;3;4;50;12,5;3,57;70
10827;5;1;2;1;5;2;1;6;3;43;8;3,87;100
10828;8;3;3;4;1;1;0;3;1;22;20,87;3,63;127,27
10830;5;2;4;1;5;2;0;6;4;40;10;2,55;95
10841;10;5;3;1;5;2;0;4;4;40;23,81;2,56;112,5
10842;6;6;3;4;6;1;1;6;4;54;15;3,08;66,67
10843;9;4;2;1;4;1;0;5;3;60;20,76;3,56;116,67
10848;28;12;4;3;3;1;1;4;3;50;15,15;3,21;19
10854;6;12;3;1;6;1;1;4;4;50;10;3,78;176
10855;5;5;2;4;3;1;1;5;4;53;10,6;3,65;137,74
10856;10;4;3;1;3;1;0;4;3;45;5;9;62,22
10863;6;9;3;1;4;1;0;3;4;28;10,74;3,74;135,71
10868;5;6;3;1;5;2;0;5;4;34;10;3,63;94,12
10872;5;2;4;1;5;1;0;4;4;40;10;3,94;162,5
10882;6;9;2;1;3;1;0;3;4;25;8;3,76;180
10893;28;8;3;4;1;1;0;3;1;32;10;3,42;48,44
10896;6;17;3;1;6;2;0;3;6;30;16,33;3,63;193,33
10898;9;9;3;4;5;1;1;6;5;82;19;3,68;51,22
10899;10;4;3;1;5;1;0;3;3;33;11,88;3,94;69,09
10903;5;6;3;1;5;2;1;4;5;50;17,96;2,94;124
10912;9;3;3;1;5;2;0;4;5;40;15,09;3,89;80
10913;11;1;3;1;5;2;0;4;4;50;14;3,18;88
10915;10;16;3;1;4;1;0;4;3;40;10;2,32;35,75
10917;11;12;2;1;5;2;1;3;5;36;8,78;2,29;100
10922;2;2;3;1;5;1;1;4;5;56;14;3,76;139,29
10923;5;4;3;1;5;1;0;6;4;52;6;8;74,04
10925;5;6;3;1;1;1;0;3;1;32;8;3,56;101,56
10927;8;6;3;1;5;1;0;3;3;31;29,51;3,7;82,26
10933;5;8;3;1;5;2;0;3;3;43;6,62;6,5;134,88
10938;1;13;3;1;5;1;1;6;3;76;12,67;6;72,37
10943;9;5;3;1;5;1;1;5;5;50;17,18;3,35;130
10951;7;19;3;1;3;1;0;2;2;22;7;3,06;90,91
10955;5;3;3;1;4;1;0;3;4;45;11;3,96;133,33
10956;6;16;2;4;2;1;0;3;2;32;5,82;5,5;100
10957;10;5;2;1;5;1;1;6;4;74;10;7;128,82
10958;6;7;3;1;4;1;0;5;4;40;10;3,28;92,5
10966;6;4;3;1;1;1;0;3;1;25;8,55;3,61;100
10969;9;2;3;4;3;1;1;6;2;86;17,2;5;49,65
10972;7;6;3;1;5;2;0;4;3;32;8;3,43;100
10973;5;8;2;1;4;1;1;3;4;41;22,1;3,62;112,2
10974;10;5;2;1;5;2;1;4;5;60;12;5;73,33
10976;5;1;3;1;5;1;0;3;3;33;10;3,85;112,12
10977;9;10;3;1;5;2;0;7;4;34;11;3,51;91,18
10984;9;7;3;1;6;1;0;4;5;40;8;5,2;145
10985;9;7;3;4;4;1;0;4;4;40;26,89;3,63;145
10988;10;12;2;4;3;1;1;4;3;70;14;5,2;76,43
10989;12;6;3;1;5;1;0;3;5;30;10;3,86;81,67
10990;12;9;3;1;3;1;1;4;3;46;13;3;76,09
10993;1;5;3;1;5;2;0;3;4;32;14,07;3,65;89,06
10995;5;4;3;1;5;1;0;4;5;30;8;3,85;106,67
10999;6;8;3;1;3;1;0;3;2;25;4,63;5,4;88
11002;8;6;3;1;4;1;0;4;4;30;10;2,82;52,67
11004;10;16;3;1;3;1;0;3;4;50;10;2,5;42
11007;5;1;3;1;4;1;1;4;4;64;16;3,8;70,31
11008;5;3;3;1;1;1;1;1;1;66;13;5;109,09
11009;9;6;3;4;3;1;1;4;3;83;13;6,5;48,19
11012;7;1;3;1;5;1;1;6;3;46;16,92;3,77;167,39
11018;6;20;3;1;6;2;1;5;5;96;16;6;127,08
11019;8;12;3;1;5;1;0;4;5;32;29,05;3,98;49,38
11020;4;7;3;4;2;1;0;2;4;41;10;3,65;45,12
11023;6;13;3;1;5;1;0;3;3;36;18,89;3,6;98,61
11024;8;8;3;1;5;1;0;4;5;33;16,11;3,61;71,21
11027;6;10;3;4;1;1;0;3;1;25;16,19;3,32;142
11030;1;11;2;1;6;1;0;3;5;40;10;3,81;137,5
11032;1;5;3;4;1;1;0;3;1;30;10;2,79;113,33
11034;8;14;3;1;5;1;0;4;5;32;8;3,87;96,25
11035;8;4;2;1;3;1;0;5;2;40;10;3,94;90
11041;12;5;3;1;5;1;0;3;3;35;12;3,93;82,86
11042;9;9;3;4;4;1;1;6;2;85;9;9,5;44,71
11052;6;10;3;1;3;1;0;2;3;26;14,14;2,29;86,54
11055;10;2;3;4;1;1;0;2;1;37;10;2,58;36,49
11056;1;12;4;1;5;1;0;4;5;50;13;3,94;170
11057;12;4;3;1;6;1;1;4;6;50;10;5;124
11058;6;1;3;1;5;1;1;4;3;46;8,52;5,4;104,35
11060;11;1;4;1;5;1;0;6;4;70;17,5;3,07;150
11062;9;10;3;4;2;1;0;3;2;45;10;3,56;71,11
11064;8;6;3;1;4;1;0;4;2;32;13,99;3,51;49,38
11065;9;9;3;4;6;2;1;4;4;82;10;8,2;46,34
11066;10;14;3;1;4;1;0;3;4;33;18,52;3,81;72,73
11067;7;6;4;4;2;1;0;3;4;42;7;6;144,05
11074;5;2;3;1;7;1;0;10;7;70;14;5;107,14
11075;3;7;3;1;5;2;0;5;4;30;10;3,61;88,33
11076;3;7;3;1;5;2;1;6;5;50;12;3,11;120
11077;10;3;2;1;6;2;0;4;6;34;10;4;42,65
11085;6;17;3;1;4;1;0;4;3;41;11,3;3,52;109,76
11088;5;4;3;1;5;1;0;6;4;30;10;2,68;120
11090;9;2;2;1;10;2;1;10;10;51;24,54;3,61;401,96
11091;10;1;3;1;3;1;0;3;4;41;12;2,79;33,66
11100;1;6;3;1;5;1;0;6;4;66;16;3,84;145,45
11104;8;13;3;1;5;2;0;4;3;42;8;7,9;119,05
11109;4;6;3;1;1;1;1;1;1;140;15;9;40
11111;5;4;2;1;5;2;0;10;5;60;10;6;228,33
11112;9;9;3;4;4;1;0;5;2;82;18,2;3,16;51,22
11115;8;1;3;4;6;1;0;5;6;40;14,14;3,6;92,5
11116;6;11;2;4;2;1;1;2;3;68;15;5;102,94
11119;6;10;3;1;4;1;0;3;4;32;13,24;2,54;104,69
11121;10;15;3;4;4;1;0;3;3;60;9;3,33;80
11124;16;1;2;4;1;1;0;3;1;100;25;3,53;31
11126;9;3;3;4;4;1;0;4;4;82;26;3,92;50,71
11129;4;8;3;4;1;1;1;3;1;70;50,62;2,79;54,29
11131;1;5;3;1;4;1;1;6;2;95;20;3,14;48,42
11132;6;12;3;1;3;1;0;2;2;31;10;3,83;103,23
11134;28;11;3;1;5;1;0;4;5;40;12;3,82;90
11136;4;7;2;1;4;1;0;4;2;73;13,5;5,4;54,79
11137;10;7;4;1;4;1;0;4;2;50;10;3,37;128
11138;4;1;3;4;3;1;0;4;4;40;10;3,92;82,5
11139;1;13;3;4;2;1;0;3;4;25;6;3,97;96
11143;6;18;3;1;2;1;0;3;4;28;7;3,96;92,86
11145;1;13;3;1;4;1;0;3;3;28;12,19;3,67;75
11146;3;2;3;1;4;1;1;6;4;49;12;3,44;114,29
11149;9;9;3;1;1;1;0;2;1;45;11,25;3,08;47,78
11150;4;12;3;4;1;1;0;3;1;40;34,06;3,83;68,75
11151;8;1;3;1;2;1;0;2;3;45;11;3,69;51,11
11152;6;6;3;1;4;1;1;4;4;60;15;3,61;72,5
11153;6;6;3;1;4;1;1;4;2;90;18;5;105,56
11154;7;20;3;1;5;1;0;3;3;40;10;2,24;71,25
11160;9;3;3;1;5;2;1;5;3;57;16,3;3,66;83,33
11161;9;3;3;1;4;1;0;4;2;40;15,2;3,02;85
11169;6;20;4;1;5;2;1;6;4;69;28,57;3,52;130,43
11170;28;7;3;1;4;1;0;3;2;30;7,5;3,61;53,33
11171;9;3;3;1;4;1;0;3;3;43;10;3,05;89,53
11173;10;12;2;1;5;1;0;5;3;40;9,5;3,9;108,75
11174;4;7;2;1;5;2;0;4;4;65;9,2;7;41,54
11178;4;12;3;1;5;1;0;4;4;30;7,5;3,96;71,67
11179;8;10;3;1;4;1;0;3;3;30;8;2,88;52,67
11181;8;2;3;1;4;1;0;3;4;35;7;3,55;71,43
11187;4;6;3;1;5;1;0;4;4;47;9,4;3,94;112,77
11189;4;8;3;1;1;1;0;2;1;130;11;12,5;33,85
11190;4;6;2;1;5;2;1;5;5;35;6;6;81,43
11193;5;2;3;1;6;1;0;10;6;80;16;5;90
11194;5;4;2;1;5;2;0;6;5;52;11;3,31;130,77
11195;10;14;3;1;5;1;0;3;4;32;8;3,73;70,31
11196;5;7;2;1;5;1;0;5;3;55;26,84;3,51;260
11197;6;9;2;1;6;1;0;3;4;30;18,1;3,89;66,67
11199;6;13;4;1;3;1;1;4;3;65;16;3,97;176,92
11201;8;7;3;4;2;1;0;3;4;30;7;3,49;98,33
11202;10;4;3;4;3;1;0;4;3;40;8;6;70
11204;10;8;2;1;4;1;0;3;2;46;11;2,24;72,83
11205;9;4;3;1;1;1;0;3;1;43;11;3,77;101,16
11208;9;3;3;1;4;1;0;4;4;35;8,5;3,76;80
11213;1;5;3;1;4;1;0;7;4;92;36,14;3,64;48,91
11215;8;8;3;1;5;1;0;4;4;37;12,77;2,81;74,32
11216;5;4;2;1;4;1;0;4;2;58;13;3,02;129,31
11220;12;4;3;1;2;1;0;3;4;30;9,2;2,76;136,67
11222;9;10;2;1;4;1;0;3;3;35;29,02;3,63;152,86
11223;5;2;3;1;3;1;0;5;2;40;10;3,82;185
11225;6;1;3;1;5;2;0;6;5;42;6,77;6,2;103,57
11230;3;3;2;1;4;1;1;3;3;30;10;3,67;50
11232;8;9;3;1;5;1;0;5;5;37;13,17;3,13;69,19
11235;1;1;3;1;2;1;0;3;3;35;8,5;3,53;84,29
11237;9;6;3;1;3;1;0;5;4;52;7,03;7,4;81,73
11240;6;2;3;1;1;1;0;3;1;30;6;3,16;103,33
11243;5;3;2;4;4;1;0;6;3;68;11;10;183,82
11244;4;7;3;4;2;1;1;3;2;73;14;5,4;58,9
11246;9;7;2;1;4;1;0;6;4;50;25,52;2,25;130
11250;12;5;3;1;2;1;0;3;4;36;9;3,78;69,44
11253;4;7;3;4;3;1;1;4;4;73;15;5,4;58,9
11254;10;15;2;1;5;2;1;4;4;35;9;3,35;148,57
11259;28;4;3;1;4;1;0;3;2;38;11;2,95;73,68
11261;10;4;2;1;3;1;0;4;2;46;13;3,92;100
11264;8;5;3;1;5;1;0;6;5;40;21,1;2,65;80
11267;9;6;2;1;7;2;1;4;5;54;11;2,49;305,56
11268;10;7;2;1;1;1;0;3;1;35;9;2,66;60
11270;10;15;3;1;3;1;0;2;3;35;6;6;85,71
11275;6;19;2;1;4;1;0;4;2;40;35,58;3,36;50
11280;6;19;3;1;4;1;1;4;2;58;42,35;3,4;58,62
11287;8;8;3;1;4;1;0;3;4;40;4;10;82,5
11289;11;12;2;1;7;2;1;7;7;95;21;3,54;263,16
11291;6;18;3;1;5;1;0;3;3;25;6,5;3,86;104
11295;2;17;2;1;4;1;1;4;2;58;14;3,63;222,24
11296;9;4;2;1;9;1;0;8;7;88;17,6;5;443,18
11299;7;9;1;1;5;1;2;4;3;35;8;2,72;137,14
11300;10;4;3;1;4;1;0;4;3;52;9;6;63,46
11301;8;5;3;1;5;2;0;6;5;57;53,67;3,06;71,93
11302;5;6;3;1;4;1;1;4;3;48;47,77;2,43;100
11306;6;19;2;1;4;1;0;4;3;60;14;3,94;155
11307;6;17;3;1;3;1;0;2;3;18;9,11;3,53;72,22
11308;10;15;3;1;4;1;0;3;2;31;8;3,72;77,42
11309;11;1;2;4;7;1;1;8;6;62;12,4;5;82,26
11310;9;1;3;4;2;1;0;3;4;31;5;6;87,1
11311;5;8;2;1;5;2;1;4;4;52;31,26;3,73;179,81
11313;1;12;2;1;2;1;1;4;3;70;16,6;2,4;471,43
11314;6;6;3;1;5;1;0;4;3;50;39,5;3,45;68
11317;9;5;2;1;4;1;1;4;4;60;38,66;3,95;149,17
11318;6;8;3;1;4;1;1;3;2;50;39,2;3,77;100
11320;6;8;3;1;4;1;0;3;2;50;21,74;2,33;100
11321;10;2;3;4;2;1;0;3;4;33;5,08;6,5;58,79
11323;11;1;3;1;2;1;0;2;4;55;9,17;6;49,09
11324;1;14;3;4;3;1;0;4;4;45;21,01;3,24;128,89
11325;4;6;3;1;5;2;0;5;3;55;20,15;3,63;60
11326;5;1;3;1;6;1;0;3;4;40;32,44;3,81;97,5
11327;8;9;3;1;5;2;1;6;3;60;43,03;3,18;101,67
11329;8;5;1;4;3;1;1;6;4;172;14,33;12;139,53
11330;5;3;3;1;6;2;1;10;6;50;12;3,94;134
11332;9;5;3;4;2;1;0;3;4;16;13,51;3,53;84,38
11333;4;2;3;1;5;1;0;3;4;35;7;3,58;71,43
11335;4;1;2;4;8;1;0;7;8;70;12;6;121,43
11345;4;1;3;4;5;1;0;5;4;48;17,76;3,59;79,17
11346;4;9;2;1;5;1;1;5;3;50;10;3,97;82
11352;8;13;3;4;2;1;1;3;3;80;38,21;2,55;47,5
11353;9;8;2;1;5;1;1;6;4;86;20;3,97;91,86
11354;12;4;3;4;3;1;0;5;2;39;10;3,74;66,67
11356;10;15;2;4;6;2;1;4;5;35;9;3,06;72,86
11359;2;1;3;1;3;1;0;3;3;39;36,71;2,64;217,95
11362;8;5;2;1;5;1;1;3;5;30;4;7,5;118,33
11364;8;5;3;4;5;1;0;4;3;36;4;8;98,61
11366;11;12;3;1;6;2;0;6;4;37;7,4;2,48;86,49
11368;10;15;3;1;4;1;0;3;2;35;10;3,76;70
11370;1;5;3;1;4;1;1;6;3;92;33,91;2,36;50
11371;10;12;2;4;5;2;0;4;4;52;10,4;3,5;98,08
11373;8;5;2;4;3;1;1;4;4;32;4;8;110,94
11379;12;5;3;1;4;1;0;4;4;36;9;2,79;94,44
11383;9;5;3;1;4;1;0;3;3;30;14,49;3,64;78,33
11384;5;7;3;1;7;1;1;6;6;60;12;3,97;202,5
11386;10;14;3;4;1;1;0;3;1;34;12,26;3,64;67,65
11391;4;1;3;1;1;1;0;2;1;36;9;3,74;52,78
11395;6;2;3;1;1;1;0;3;1;18;6;3,62;66,67
11396;1;6;3;1;5;1;0;6;4;70;13,46;5,2;82,86
11400;8;3;2;4;6;1;0;10;5;112;55,52;3,72;209,82
11408;7;2;3;1;1;1;0;3;1;32;9;2,83;79,69
11410;6;4;3;1;1;1;0;3;1;32;9;3,26;79,69
11413;5;8;3;1;5;2;0;4;3;43;7;6;123,26
11414;1;1;2;1;6;2;0;6;6;64;9,41;6,8;250
11415;2;15;3;1;1;1;0;2;1;22;7;2,85;45,45
11416;8;8;2;1;5;2;0;6;5;52;10,4;3,55;109,62
11418;6;19;2;1;5;1;1;4;4;40;10;3,21;85
11419;8;2;2;4;6;2;1;4;5;43;7,17;6;74,42
11422;3;4;2;1;2;1;0;4;3;68;16,6;3,93;485,29
11423;11;12;3;4;5;1;0;4;4;120;15;8;67,5
11424;8;6;3;1;3;1;1;4;2;80;16;5;47,5
11425;3;6;2;1;2;1;1;4;2;68;16,6;2,38;485,29
11426;9;5;3;4;6;1;0;4;6;40;12;3,17;111,25
11430;1;12;2;1;4;1;0;4;3;68;16,6;3,02;485,29
11431;6;18;3;1;4;1;0;3;2;36;19,56;2,25;83,33
11432;8;6;3;1;4;1;0;6;2;40;10;3,96;62,5
11434;10;6;3;1;3;1;0;2;2;41;27,24;3,64;53,66
11436;6;10;2;1;9;1;0;10;7;63;6,3;10;349,21
11437;1;5;3;1;5;2;0;3;5;23;7;3,84;100
11438;6;18;2;1;4;1;0;5;4;50;16,79;2,59;166
11440;4;8;3;1;4;1;0;4;3;55;20,57;3,81;69,09
11444;7;10;3;1;5;2;0;5;5;45;12;2,96;157,78
11445;9;6;3;1;1;1;0;3;1;32;11,08;3,8;125
11448;1;3;3;1;5;2;0;3;3;19;5,3;3,89;126,32
11449;18;1;1;2;4;1;2;4;2;148;18;9;76,35
11451;4;13;3;1;1;1;0;2;1;45;9;3,01;31,11
11452;10;6;3;1;5;1;0;4;3;34;12,89;3,7;72,06
11453;6;12;3;1;7;2;1;10;7;65;11;6;127,69
11459;6;15;3;1;4;1;0;4;2;45;18,35;3,85;95,56
11460;10;6;3;1;5;1;0;4;5;33;13,36;3,96;62,12
11463;1;3;3;1;5;1;0;4;3;28;17,16;3,68;100
11464;6;7;3;1;4;1;0;3;3;32;8,9;3,84;76,56
11466;6;6;3;1;6;2;0;3;6;34;12,8;2,38;100
11467;7;6;3;1;5;1;0;4;5;67;9;3,82;41,79
11469;5;6;3;1;4;1;0;4;2;32;20,05;3,4;101,56
11470;4;13;3;4;2;1;1;3;3;72;12;6;50
11471;9;6;3;4;1;1;0;2;1;35;19,25;3,64;71,43
11473;5;8;3;1;5;2;0;4;5;44;11;3,45;261,36
11474;8;2;3;1;5;1;1;3;3;49;42,19;3,82;63,27
11475;7;6;3;1;5;1;0;4;4;40;6,67;6;150
11476;12;3;3;1;6;1;0;5;5;52;8;7;88,46
11478;9;10;3;1;4;1;0;3;4;38;18,45;3,01;140,79
11479;7;6;2;1;3;1;0;3;3;67;28,09;3,4;41,79
11480;1;3;3;1;3;1;0;4;4;38;9;3,72;110,53
11482;5;7;3;1;5;2;1;5;3;55;20,87;3,91;113,64
11484;10;2;3;4;1;1;0;2;1;32;6;3,92;46,88
11485;10;2;3;1;5;1;0;4;5;35;10;3,72;65,71
11488;4;12;3;1;2;1;1;3;4;48;13;3,97;54,17
11495;4;9;3;1;5;2;0;4;4;36;10;2,44;88,89
11496;9;2;2;1;9;1;0;10;8;171;28,5;6;233,92
11500;10;14;3;1;4;1;0;4;4;35;5,83;6;71,43
11502;18;5;3;1;4;1;0;3;4;48;12;3,88;38,54
11504;12;9;3;1;4;1;0;3;3;30;9,09;3,39;93,33
11505;9;4;3;4;2;1;0;3;3;45;25,26;3,81;128,89
11507;9;5;2;1;5;1;1;6;4;50;10;3,65;128
11511;5;4;3;1;5;2;0;6;5;52;6,5;8;74,04
11515;10;6;2;1;2;1;1;2;4;25;8;3,28;70
11516;2;15;3;1;3;1;0;3;3;20;7;3,18;49,95
11518;6;15;3;1;5;1;0;4;3;32;9;3,06;92,19
11521;8;9;3;4;1;1;0;3;1;32;10;3,28;87,5
11524;12;1;2;1;2;1;0;2;4;40;6,67;6;85
11526;10;6;3;1;5;2;0;3;5;33;12,49;3,58;66,67
11533;9;3;3;4;1;1;0;3;1;33;8,6;3,01;78,79
11539;9;5;3;1;4;1;0;3;3;35;9;3,36;77,14
11540;9;4;3;4;6;2;0;6;4;40;14,94;3,73;87,5
11548;7;13;1;4;1;1;1;3;1;35;14,03;3,43;160
11549;5;6;3;1;6;1;0;5;4;40;14,09;3,95;145
11551;12;7;3;4;2;1;1;2;3;51;10;5;45,1
11556;3;3;2;1;4;1;0;3;3;35;30,78;3,32;88,57
11558;7;9;2;1;7;2;1;5;6;70;14;5;214,29
11560;10;12;3;1;5;1;0;4;3;38;10;3,94;96,05
11561;3;8;2;1;3;1;0;3;2;86;12;7,17;296,51
11563;7;8;2;1;5;2;1;5;4;70;14;5;214,29
11564;6;8;3;1;2;1;0;3;2;30;21,95;3,83;78,33
11565;9;5;3;1;4;1;0;4;4;39;13,17;2,85;116,67
11567;4;1;3;4;2;1;0;3;2;35;8,8;3,55;94,29
11571;1;7;2;1;6;1;1;2;5;52;27,74;3,3;157,69
11574;9;6;3;1;3;1;1;4;3;50;10;2,62;120
11576;6;20;3;1;2;1;0;2;4;30;9;3,65;73,33
11578;10;9;4;1;4;1;0;6;4;126;7;18;73,25
11580;9;10;3;4;1;1;0;3;1;26;7,5;2,94;101,92
11581;1;6;3;1;4;1;0;4;3;35;24,23;2,64;85,71
11582;1;3;3;1;5;1;0;3;3;35;8,7;3,65;128,57
11583;10;16;3;1;4;1;0;5;3;32;8;3,91;53,13
11584;6;4;3;1;4;1;0;3;3;32;8;3,57;85,94
11587;12;4;3;1;5;1;0;6;4;40;10;3,81;90
11588;6;16;3;1;2;1;0;3;3;30;8,5;3,18;83,33
11592;4;6;3;1;3;1;1;3;3;64;21,3;2,72;60,16
11594;5;2;3;1;2;1;0;3;4;40;13;3,75;73,75
11595;10;13;4;1;5;1;0;4;5;44,2;12;3,97;129,55
11597;1;1;3;1;5;2;0;3;5;26;13,28;3,5;91,92
11598;3;6;3;1;5;2;0;5;3;50;13;3,18;124
11600;1;10;3;1;5;2;0;3;5;32;4;8;140,63
11601;6;10;3;1;6;2;0;4;5;33;12,78;3,61;77,27
11603;4;8;2;1;5;2;0;4;3;48;12,6;2,51;85,42
11604;5;3;3;1;5;1;0;5;3;45;10;2,37;162,22
11607;1;1;3;1;5;1;0;3;5;25;20;3,99;96
11608;4;1;3;4;1;1;0;3;1;30;8,5;2,69;105
11611;4;12;3;1;5;2;0;3;3;30;8;3,57;71,67
11612;6;17;3;1;5;1;0;3;4;36;12,43;3,35;159,72
11616;7;3;3;1;4;1;1;4;2;48;8;6;20,83
11617;1;3;3;1;5;1;0;4;3;60;39,56;3,92;118,33
11618;6;17;3;1;4;1;0;4;3;42;11;3,77;107,14
11619;8;1;3;4;6;2;1;4;6;46;12;3,89;58,7
11620;6;5;3;1;5;1;1;6;5;56;11,2;5;107,14
11625;8;1;3;4;5;1;0;4;3;45;11,2;3,9;60
11626;6;8;3;1;4;1;0;4;3;35;26,89;2,34;118,57
11630;12;3;3;4;1;1;0;3;1;35;10;3,85;97,14
11631;10;2;3;1;3;1;0;4;2;34;9;2,78;54,41
11632;10;14;2;1;4;1;1;5;3;55;37,75;3,89;100
11634;12;5;3;4;1;1;0;3;1;30;9;2,66;136,67
11638;4;9;3;1;4;1;0;5;2;41;24,94;3,47;59,76
11642;10;16;3;1;2;1;0;3;4;30;15,21;3,91;60,67
11644;7;6;3;1;3;1;0;2;3;30;23,35;3,51;76,67
11648;9;3;3;1;5;2;0;5;5;36;9;3,73;83,33
11649;6;16;3;4;1;1;1;3;1;57;7,92;7,2;63,16
11652;8;5;3;1;7;2;1;9;7;52;22,23;3,47;101,92
11653;9;4;3;1;6;1;0;4;6;45;9;3,03;122,22
11654;10;6;2;1;5;1;1;4;3;40;5;8;96,25
11656;6;6;3;1;5;2;0;3;4;30;10;3,18;125
11658;6;13;3;1;4;1;0;4;4;46;6,3;7,3;80,43
11659;10;15;2;1;6;1;1;6;5;35;10;3,66;155,71
11660;10;6;3;1;5;1;0;3;5;31;7;2,64;73,55
11661;10;2;3;1;5;1;0;3;3;31;10;3,61;60,65
11662;8;8;3;4;1;1;0;3;1;19;6,68;2,85;68,42
11663;4;3;3;1;1;1;1;3;1;55;9,48;5,8;50,91
11664;9;4;3;1;6;1;0;4;5;32;16,78;3,59;84,38
11665;12;4;3;1;5;2;0;4;5;47;11;3,57;62,77
11666;10;2;3;1;5;2;0;3;3;33;4;8,2;72,73
11667;6;11;3;1;5;2;0;4;5;68;31,59;2,36;87,5
11668;8;1;3;1;5;1;0;4;3;58;20,27;3,9;101,72
11669;11;7;2;1;5;2;0;6;4;40;9;2,4;112,5
11673;10;2;2;1;4;1;0;4;3;38;12;2,34;67,11
11675;10;13;2;1;4;1;1;5;2;95;91,78;3,88;92,63
11679;5;7;2;4;6;2;1;6;5;61;8,71;7;90,16
11680;7;6;3;1;2;1;0;3;3;34;8;2,49;82,35
11689;6;6;2;1;5;2;0;4;5;45;12;3,67;182,22
11691;7;18;3;4;5;2;0;5;4;47;31,95;3,81;59,57
11694;5;6;3;4;2;1;0;2;4;31;10;2,47;64,52
11695;12;6;3;1;3;1;0;4;3;35;10;35;57,43
11696;6;19;3;1;4;1;0;4;3;42;17,56;3,84;109,52
11698;8;11;3;1;5;2;0;4;4;52;9,12;5,7;67,31
11699;6;17;2;1;5;1;0;3;3;29;6,7;2,31;113,79
11702;1;1;3;1;5;2;0;4;4;36;6;6;109,72
11704;5;1;2;1;4;1;1;4;4;48;6;7,8;100
11706;10;11;3;1;2;1;0;2;3;40;10;3,07;31,25
11707;8;8;3;1;5;1;0;3;3;30;10,4;3,75;83,33
11708;6;7;3;1;6;2;0;5;5;42;26,14;3,27;85,71
11710;9;3;2;1;5;1;1;4;3;40;10,5;3,96;105
11712;4;12;3;1;2;1;0;3;2;50;13;3,97;52
11714;7;6;3;1;5;2;0;3;3;42;15,83;3,06;88,1
11716;6;8;3;1;3;1;0;2;3;38;7,9;3,92;77,63
11717;6;5;3;1;4;1;0;4;4;47;21,75;3,96;92,55
11721;6;17;3;4;3;1;0;4;3;40;32,58;3,85;124,5
11723;10;4;3;1;3;1;1;3;3;50;23,67;3,55;54
11726;9;5;2;1;4;1;1;4;3;38;9,8;3,15;100
11727;28;6;3;1;2;1;0;1;4;45;10;3,36;30,67
11728;6;17;2;1;5;2;0;7;4;51;7,85;6,5;392,16
11730;6;17;3;1;5;1;0;6;3;12;3;3,72;125
11731;4;13;3;1;6;1;0;4;6;60;12;5;40
11733;7;6;3;4;5;1;0;4;5;45;29,68;3,95;64
11736;5;8;3;4;4;1;0;6;3;30;15,31;3,62;108,33
11738;3;7;3;4;3;1;0;6;3;75;11;7,6;105,33
11742;6;13;2;1;4;1;1;4;3;48;12;3,94;150
